claim_id,approved_wording,evidence_level,main_slide,appendix_slide,role_on_slide,visual_support,verbal_only,prohibited_extension,source_reference
CORE-01,"预测不是终点：24 小时前瞻负荷预测服务于电池削峰决策。","TIER 1 — CORE CLAIM","SB-M01;SB-M03;SB-M12","SB-A07","thesis; engineering pipeline; conclusion","CON-01-prediction-decision-bridge;SCI-05-storage-dispatch-frozen","NO","Do not claim verified electricity-cost, carbon, or energy-use savings.","outputs/phase9/final_algorithm.json;outputs/phase9_1/final_reporting_summary.json"
CORE-02,"更低的预测 RMSE 不必然带来更好的储能决策：冻结 Test 结果中，XGBoost 的 RMSE 略优，决策 regret 却更差。","TIER 1 — CORE CLAIM","SB-M02;SB-M04;SB-M07;SB-M11;SB-M12","SB-A03;SB-A05","hook; limitation; metric interpretation; innovation boundary","SCI-01-forecast-decision-mismatch","NO","Do not claim forecast accuracy is irrelevant, all accurate forecasts fail, or a universal causal mechanism.","outputs/phase9/final_benchmark.csv"
CORE-03,"DOEF 不只按预测误差选融合权重，而是在 Validation 上按储能决策 regret 冻结权重。","TIER 1 — CORE CLAIM","SB-M04;SB-M09;SB-M11;SB-M12","SB-A08","selection method; anti-leakage credibility; innovation","SCI-04-validation-weight-selection","NO","Do not claim Test-selected weights, deployable Oracle, joint training, or bilevel optimization.","outputs/phase8/run_config.json;outputs/phase8/selected_weights.csv;outputs/phase9/final_algorithm.json"
CORE-04,"在 296 个办公候选中按冻结质量规则筛到 82 个，再仅用 Train 期形态预选 8 栋异质办公建筑。","TIER 1 — CORE CLAIM","SB-M08;SB-M11;SB-M12","SB-A01","scope; anti-cherry-picking; benchmark design","outputs/phase7/figures/01_morphology_map.png","NO","Do not claim unseen-building transfer, universal building coverage, or Test-based building selection.","outputs/phase7/selected_buildings.json"
CORE-05,"DOEF v1.0（Decision-Oriented Ensemble Forecasting）把因果预测、决策导向融合和电池削峰评估连成一条冻结流程。","TIER 1 — CORE CLAIM","SB-M01;SB-M05;SB-M10;SB-M11;SB-M12","SB-A03","method definition; frozen workflow; contribution","ARCH-01-doef-architecture-master","NO","Do not claim a new LightGBM model, end-to-end differentiable training, or production deployment.","outputs/phase9/final_algorithm.json;outputs/phase9_1/final_reporting_summary.json"
CORE-06,"在冻结的 8 栋建筑 Test 汇总上，DOEF 相对 LightGBM 的 normalized MAE 改善 6.36%。","TIER 1 — CORE CLAIM","SB-M06;SB-M12","SB-A05","main forecast outcome; conclusion","SCI-02-doef-main-results","NO","Do not claim universal forecasting superiority, unseen-building performance, or state of the art.","outputs/phase9_1/final_reporting_summary.json"
CORE-07,"DOEF 相对 LightGBM 的 normalized decision regret 改善 3.61%，建筑级结果为 6 胜、2 平、0 负。","TIER 1 — CORE CLAIM","SB-M06;SB-M08;SB-M12","SB-A06","main decision outcome; multi-building evidence; conclusion","SCI-02-doef-main-results;SCI-03-multibuilding-regret","NO","Do not claim superiority over every method and metric or translate regret into money.","outputs/phase9_1/final_reporting_summary.json;outputs/phase9/decision_metrics.csv"
CORE-08,"DOEF 的 8 栋建筑平均削峰率为 6.44%，同时如实保留最差建筑 -1.02% 的负结果。","TIER 1 — CORE CLAIM","SB-M06","SB-A06","honest result caveat; full decision outcomes","SCI-02-doef-main-results","NO","Do not claim every building improves or confuse whole-window peak reduction with daily regret or energy saving.","outputs/phase9/final_benchmark.csv"
SUP-01,"项目冻结的 BDG2 选择表覆盖 1,578 栋建筑序列，其中 296 栋为办公候选。","TIER 2 — SUPPORTING CLAIM","","SB-A01","dataset scope","outputs/phase7/figures/01_morphology_map.png","NO","Do not state that BDG2 universally contains exactly 1,578 buildings.","outputs/phase7/selected_buildings.json;outputs/phase3/building_selection.csv"
SUP-02,"24 小时前瞻预测只使用因果可得的负荷历史与日历特征。","TIER 2 — SUPPORTING CLAIM","SB-M05;SB-M10","SB-A02","causal protocol; frozen workflow","ARCH-01-doef-architecture-master","NO","Do not claim future weather, future target use, or an optimal/exhaustive feature set.","outputs/phase9/final_algorithm.json"
SUP-03,"所有模型与融合选择均只用 Validation 冻结，Test 仅用于评估。","TIER 2 — SUPPORTING CLAIM","SB-M05;SB-M09;SB-M11","SB-A02","anti-leakage protocol; innovation boundary","SCI-04-validation-weight-selection;ARCH-01-doef-architecture-master","NO","Do not call Test pristine, never viewed, or selection data.","outputs/phase9_1/final_reporting_summary.json;outputs/phase8/run_config.json"
