limitation_id,description,affected_claim_ids,risk_if_ignored,safe_wording,forbidden_wording,main_deck_or_backup
LIM-01,Evaluation uses 8 fixed pre-selected office buildings.,CORE-04;CORE-06;CORE-07;CORE-08,Overstates population scope.,Multi-building evaluation across 8 pre-selected heterogeneous office buildings.,Generalizes to all buildings.,MAIN
LIM-02,No unseen-building transfer experiment.,CORE-04;CORE-06;CORE-07,Converts fixed-building evaluation into an unsupported transfer claim.,Multi-building evaluation on fixed buildings.,Unseen-building generalization; zero-shot transfer; transfer learning; domain adaptation.,MAIN
LIM-03,One fixed future Test month per building limits temporal generalization.,CORE-06;CORE-07;CORE-08;BACK-03,Implies seasonal or multi-year robustness.,Results on one fixed future Test month per building.,Generalizes across seasons and years.,MAIN
LIM-04,"Test was not used for selection, but historical Test results had been viewed.",CORE-03;SUP-03;BACK-03,Misstates Test visibility and audit history.,Test data were not used for model or ensemble selection.,Pristine Test set; completely untouched Test set; never viewed.,MAIN
LIM-05,No electricity tariff or monetary-savings evidence.,CORE-01;CORE-07,Turns physical peak metrics into financial outcomes.,Peak-demand reduction under the frozen battery protocol.,Verified bill savings; electricity-cost savings; monetary regret.,MAIN
LIM-06,No carbon-emissions evidence.,CORE-01,Creates an unsupported environmental outcome.,No carbon outcome was evaluated.,Verified carbon reduction.,MAIN
LIM-07,No energy-use reduction evidence.,CORE-01,Confuses peak reduction with energy reduction.,The evaluated outcome is peak demand.,Reduced building energy consumption.,MAIN
LIM-08,Phase 5.7 robust LightGBM degrades Test mean regret: 20.4635 kW versus 11.1274 kW deterministic.,SUP-08;BACK-01,Reverses a frozen negative result.,The robust experiment is falsification/Q&A evidence and is not part of DOEF.,Robust optimization improved Test performance.,BACKUP
LIM-09,Raw readings are kWh per hourly interval; dispatch power is interval-average kW; capacity and SOC are kWh.,SUP-06;BACK-02,Produces dimensionally invalid claims.,State interval and unit semantics explicitly.,kWh and kW are interchangeable.,BACKUP
LIM-10,"The count 1,578 is the project universe represented in the frozen Phase 3 selection table.",SUP-01,Overgeneralizes a repository-specific count to every external release.,"The project's frozen BDG2 electricity table contains 1,578 building series.","BDG2 has exactly 1,578 buildings.",MAIN
LIM-11,"Peak reduction depends on method, building, split, whole-window/daily scope, and aggregation.",CORE-08;SUP-07,Makes a scope-sensitive metric misleading.,Attach full method and aggregation labels.,Peak reduction is one universal project number.,MAIN
LIM-12,No Phase 13.0B external literature or SOTA audit was performed.,CORE-05,Turns internal positioning into an external priority claim.,Supported internal contributions only.,First; world-first; novel as external fact; state of the art; beats all methods.,MAIN
