metric_shortlist_id,manifest_id,priority,role,label,value,unit,phase,building_scope,split,model,aggregation,evidence_status,claim_ids,likely_slide_role,caveat,source_path,source_field,source_sha256
MET-001,dataset.final_buildings,CORE,scope,Final fixed building count,8,buildings,7,,,,frozen count,DETERMINISTIC_DERIVED,CORE-04;BACK-03,protocol,"Fixed, pre-selected buildings; not unseen transfer.",outputs/phase7/selected_buildings.json,count(selected_buildings),0a39c5e38c0568d30010d5b0c2a71d82933fe5e27b5df37408c9de2f81f7b885
MET-002,forecast.horizon,CORE,task,Forecast horizon,24,hours,4.5,,,,fixed scalar,EXACT_RECOVERED,CORE-01;CORE-05,problem/method,Target timestamp is feature timestamp +24 h.,outputs/phase4_5/final_config.json,forecast_horizon_hours,414bce43e889b78940ebf0f17588d66eff624b4348e144ce424816801786fffa
MET-003,9.final_benchmark.4.normalized_rmse_mean,CORE,mismatch,XGBoost mean normalized RMSE,0.2167511842160507,dimensionless,9,8-building aggregate,test,XGBoost,equal-building mean after frozen Train-mean normalization,EXACT_RECOVERED,CORE-02,mismatch,Slightly below LightGBM; retain full scope label.,outputs/phase9/final_benchmark.csv,row[4].normalized_rmse_mean,b2cd308f3a4bc45329f79e8eedd45579ab1877c74b6cb02968a687dc1624801c
MET-004,9.final_benchmark.3.normalized_rmse_mean,CORE,mismatch,LightGBM mean normalized RMSE,0.2169419587841403,dimensionless,9,8-building aggregate,test,LightGBM,equal-building mean after frozen Train-mean normalization,EXACT_RECOVERED,CORE-02,mismatch,Comparator for frozen counterexample.,outputs/phase9/final_benchmark.csv,row[3].normalized_rmse_mean,b2cd308f3a4bc45329f79e8eedd45579ab1877c74b6cb02968a687dc1624801c
MET-005,9.final_benchmark.4.normalized_decision_regret_mean,CORE,mismatch,XGBoost mean normalized decision regret,0.1175341513618143,dimensionless,9,8-building aggregate,test,XGBoost,equal-building mean after frozen Train-mean normalization,EXACT_RECOVERED,CORE-02,mismatch,"Higher is worse; Oracle-relative, not monetary regret.",outputs/phase9/final_benchmark.csv,row[4].normalized_decision_regret_mean,b2cd308f3a4bc45329f79e8eedd45579ab1877c74b6cb02968a687dc1624801c
MET-006,9.final_benchmark.3.normalized_decision_regret_mean,CORE,mismatch,LightGBM mean normalized decision regret,0.116126784093835,dimensionless,9,8-building aggregate,test,LightGBM,equal-building mean after frozen Train-mean normalization,EXACT_RECOVERED,CORE-02,mismatch,Lower than XGBoost despite slightly higher RMSE.,outputs/phase9/final_benchmark.csv,row[3].normalized_decision_regret_mean,b2cd308f3a4bc45329f79e8eedd45579ab1877c74b6cb02968a687dc1624801c
MET-007,phase8.Hog_office_Joey.w_forecast,CORE,selection,Joey forecast-selected LightGBM weight,0.6,ensemble LightGBM weight,8,Hog_office_Joey,validation,DayWeek/LightGBM ensemble,per-building Validation-selected scalar,EXACT_RECOVERED,CORE-03,selection example,Illustrative building only.,outputs/phase8/selected_weights.csv,row(building=Hog_office_Joey).w_forecast,2c0069968f31917c3b4be6d2989bf88f23401be8ddaea779181dbeeceb238959
MET-008,phase8.Hog_office_Joey.w_decision,CORE,selection,Joey decision-selected LightGBM weight,0.3,ensemble LightGBM weight,8,Hog_office_Joey,validation,DayWeek/LightGBM ensemble,per-building Validation-selected scalar,EXACT_RECOVERED,CORE-03;CORE-05;BACK-04,selection example,Illustrative building only.,outputs/phase8/selected_weights.csv,row(building=Hog_office_Joey).w_decision,2c0069968f31917c3b4be6d2989bf88f23401be8ddaea779181dbeeceb238959
MET-009,phase9_1.lightgbm_mean_normalized_mae,CORE,outcome,LightGBM mean normalized MAE,0.1473380276776882,dimensionless,9.1,8-building equal-building aggregate,test,DOEF v1.0 vs LightGBM,equal-building mean after frozen Train-mean normalization,EXACT_RECOVERED,CORE-06,final result,Equal-building aggregate.,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.lightgbm_mean_normalized_mae,16de5296be9b0798860a85bb8e28116095e80e1bd21df811d87c40940d27fe36
MET-010,phase9_1.doef_mean_normalized_mae,CORE,outcome,DOEF mean normalized MAE,0.1379695350007493,dimensionless,9.1,8-building equal-building aggregate,test,DOEF v1.0 vs LightGBM,equal-building mean after frozen Train-mean normalization,EXACT_RECOVERED,CORE-06,final result,Equal-building aggregate.,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.doef_mean_normalized_mae,16de5296be9b0798860a85bb8e28116095e80e1bd21df811d87c40940d27fe36
MET-011,phase9_1.normalized_mae_relative_improvement_pct,CORE,outcome,DOEF relative normalized-MAE improvement,6.358502841800696,%,9.1,8-building equal-building aggregate,test,DOEF v1.0 vs LightGBM,relative difference of equal-building means,EXACT_RECOVERED,CORE-06,headline,Versus LightGBM only.,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.normalized_mae_relative_improvement_pct,16de5296be9b0798860a85bb8e28116095e80e1bd21df811d87c40940d27fe36
MET-012,phase9_1.lightgbm_mean_normalized_regret,CORE,outcome,LightGBM mean normalized decision regret,0.116126784093835,dimensionless,9.1,8-building equal-building aggregate,test,DOEF v1.0 vs LightGBM,equal-building mean after frozen Train-mean normalization,EXACT_RECOVERED,CORE-07,final result,Oracle-relative; not monetary.,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.lightgbm_mean_normalized_regret,16de5296be9b0798860a85bb8e28116095e80e1bd21df811d87c40940d27fe36
MET-013,phase9_1.doef_mean_normalized_regret,CORE,outcome,DOEF mean normalized decision regret,0.1119291838879677,dimensionless,9.1,8-building equal-building aggregate,test,DOEF v1.0 vs LightGBM,equal-building mean after frozen Train-mean normalization,EXACT_RECOVERED,CORE-07,final result,Oracle-relative; not monetary.,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.doef_mean_normalized_regret,16de5296be9b0798860a85bb8e28116095e80e1bd21df811d87c40940d27fe36
MET-014,phase9_1.normalized_regret_relative_improvement_pct,CORE,outcome,DOEF relative normalized-regret improvement,3.6146701543680733,%,9.1,8-building equal-building aggregate,test,DOEF v1.0 vs LightGBM,relative difference of equal-building means,EXACT_RECOVERED,CORE-07,headline,Versus LightGBM under frozen protocol.,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.normalized_regret_relative_improvement_pct,16de5296be9b0798860a85bb8e28116095e80e1bd21df811d87c40940d27fe36
MET-015,phase9_1.decision_wins,CORE,consistency,DOEF decision-regret building wins,6,buildings,9.1,8 buildings,test,DOEF v1.0 vs LightGBM,building-level win/tie/loss count,EXACT_RECOVERED,CORE-07,headline,Ties use frozen comparison semantics.,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.decision_regret_win_tie_loss.wins,16de5296be9b0798860a85bb8e28116095e80e1bd21df811d87c40940d27fe36
MET-016,phase9_1.decision_ties,CORE,consistency,DOEF decision-regret building ties,2,buildings,9.1,8 buildings,test,DOEF v1.0 vs LightGBM,building-level win/tie/loss count,EXACT_RECOVERED,CORE-07,headline,Do not report as wins.,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.decision_regret_win_tie_loss.ties,16de5296be9b0798860a85bb8e28116095e80e1bd21df811d87c40940d27fe36
MET-017,phase9_1.decision_losses,CORE,consistency,DOEF decision-regret building losses,0,buildings,9.1,8 buildings,test,DOEF v1.0 vs LightGBM,building-level win/tie/loss count,EXACT_RECOVERED,CORE-07,headline,Does not imply superiority on every metric.,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.decision_regret_win_tie_loss.losses,16de5296be9b0798860a85bb8e28116095e80e1bd21df811d87c40940d27fe36
MET-018,9.final_benchmark.6.peak_reduction_mean_pct,CORE,outcome,DOEF mean whole-window peak reduction,6.442331666592077,%,9,8-building aggregate,test,DOEF,equal-building mean of whole-window peak reduction,EXACT_RECOVERED,CORE-08,headline,Equal-building mean; whole-window definition.,outputs/phase9/final_benchmark.csv,row[6].peak_reduction_mean_pct,b2cd308f3a4bc45329f79e8eedd45579ab1877c74b6cb02968a687dc1624801c
MET-019,9.final_benchmark.6.peak_reduction_min_pct,CORE,negative case,DOEF minimum building peak reduction,-1.0170484967146218,%,9,8-building aggregate,test,DOEF,building minimum of whole-window peak reduction,EXACT_RECOVERED,CORE-08,limitation,Negative value must remain visible.,outputs/phase9/final_benchmark.csv,row[6].peak_reduction_min_pct,b2cd308f3a4bc45329f79e8eedd45579ab1877c74b6cb02968a687dc1624801c
MET-020,dataset.raw_building_count,SUPPORTING,scale,Frozen project-universe building series,1578,buildings,3,,,,frozen count,DETERMINISTIC_DERIVED,SUP-01,dataset,Do not generalize to every BDG2 release.,outputs/phase3/building_selection.csv,count(data rows),36a089b8b8ff50193be54c525c5ec0dacb56006fbe4bea876e94b377a0dd629e
MET-021,dataset.office_candidates,SUPPORTING,scale,Office candidates,296,buildings,7,,,,frozen count,EXACT_RECOVERED,CORE-04;SUP-01,dataset,Pre-quality-filter count.,outputs/phase7/selected_buildings.json,office_candidates,0a39c5e38c0568d30010d5b0c2a71d82933fe5e27b5df37408c9de2f81f7b885
MET-022,dataset.office_quality_pass,SUPPORTING,protocol,Office candidates passing quality rules,82,buildings,7,,,,frozen count,EXACT_RECOVERED,CORE-04,protocol,Frozen quality rules.,outputs/phase7/selected_buildings.json,quality_pass_count,0a39c5e38c0568d30010d5b0c2a71d82933fe5e27b5df37408c9de2f81f7b885
MET-023,phase8.weight_candidates,SUPPORTING,selection,Predeclared candidate weights,11,weights,8,,,,frozen count,DETERMINISTIC_DERIVED,CORE-03;SUP-03,method,Grid fixed before Test.,outputs/phase8/run_config.json,count(candidate_weights),b4f7b7011df0e2a845dc75ccd8c4fbb716fdaf098794fd8b1861711064c4ad78
MET-024,phase9_1.bootstrap.resamples,SUPPORTING,reliability,Building-level bootstrap resamples,10000,resamples,9.1,8 buildings,test,DOEF v1.0 minus LightGBM,building-level paired bootstrap summary,EXACT_RECOVERED,SUP-04,reliability,Only 8 building units.,outputs/phase9_1/final_reporting_summary.json,building_level_bootstrap.resamples,16de5296be9b0798860a85bb8e28116095e80e1bd21df811d87c40940d27fe36
MET-025,phase9_1.bootstrap.point_estimate,SUPPORTING,reliability,Bootstrap point difference,-0.0041976002058672825,normalized regret difference,9.1,8 buildings,test,DOEF v1.0 minus LightGBM,building-level paired bootstrap summary,EXACT_RECOVERED,SUP-04,reliability,DOEF minus LightGBM; negative favors DOEF.,outputs/phase9_1/final_reporting_summary.json,building_level_bootstrap.point_estimate,16de5296be9b0798860a85bb8e28116095e80e1bd21df811d87c40940d27fe36
MET-026,phase9_1.bootstrap.ci95_lower,SUPPORTING,reliability,Bootstrap 95% lower bound,-0.0068502135531734835,normalized regret difference,9.1,8 buildings,test,DOEF v1.0 minus LightGBM,building-level paired bootstrap summary,EXACT_RECOVERED,SUP-04,reliability,Building-level resampling.,outputs/phase9_1/final_reporting_summary.json,building_level_bootstrap.ci95_lower,16de5296be9b0798860a85bb8e28116095e80e1bd21df811d87c40940d27fe36
MET-027,phase9_1.bootstrap.ci95_upper,SUPPORTING,reliability,Bootstrap 95% upper bound,-0.0017190447979306138,normalized regret difference,9.1,8 buildings,test,DOEF v1.0 minus LightGBM,building-level paired bootstrap summary,EXACT_RECOVERED,SUP-04,reliability,Building-level resampling.,outputs/phase9_1/final_reporting_summary.json,building_level_bootstrap.ci95_upper,16de5296be9b0798860a85bb8e28116095e80e1bd21df811d87c40940d27fe36
MET-028,phase9_1.bootstrap.probability_mean_less_than_zero,SUPPORTING,reliability,Bootstrap probability mean difference below zero,1.0,probability,9.1,8 buildings,test,DOEF v1.0 minus LightGBM,building-level paired bootstrap summary,EXACT_RECOVERED,SUP-04,backup annotation,Within fixed 8-building scope.,outputs/phase9_1/final_reporting_summary.json,building_level_bootstrap.probability_mean_less_than_zero,16de5296be9b0798860a85bb8e28116095e80e1bd21df811d87c40940d27fe36
MET-029,phase9_1.invariance_samples,SUPPORTING,reproducibility,Prediction invariance sample count,5760,predictions,9.1,8 buildings,test,DOEF v1.0,all frozen Test prediction rows,EXACT_RECOVERED,SUP-05;BACK-05,reproducibility,"Identity audit, not a new experiment.",outputs/phase9_1/doef_prediction_invariance.json,samples,85bcf0cf3d0c5ef9ec12d48ef2f7a601dcdfbf1845b0e821ca6cd6ddf9844a42
