literature_id,citation,year,DOI_or_URL,source_type,source_verified,full_text_checked,load_forecasting,ensemble,deterministic_point_forecast,downstream_optimization,battery,peak_shaving,decision_metric_for_selection,validation_selected,end_to_end_training,multi_building,split_protocol,leakage_control,closest_to_DOEF,overlap,difference,implication_for_novelty,confidence,notes
L004,"Soman et al., Peak Forecasting for Battery-based Energy Optimizations in Campus Microgrids",2020,10.1145/3396851.3397751,ACM conference paper,VERIFIED,FULL_TEXT_CHECKED,YES,NO,YES,YES,YES,YES,NO,NO,NO,YES,"two-year campus trace with evaluation protocol described",PARTIAL,PARTIAL,"Task-specific campus peak forecast used by battery optimization","Predicts peak hours directly and evaluates battery value; no post-hoc convex blend selected by optimizer regret","Broad battery-aware forecasting is prior art; CORE-1 must be mechanism-specific",HIGH,"156-building campus aggregate; not per-building DOEF"
L005,"Hwang et al., Optimal ESS Scheduling for Peak Shaving of Building Energy Using Accuracy-Enhanced Load Forecast",2020,10.3390/en13215633,open publisher article,VERIFIED,FULL_TEXT_CHECKED,YES,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,"chronological case protocol described",PARTIAL,NO,"Building load forecasting feeds ESS peak-shaving scheduling","Forecast is accuracy-enhanced; no verified downstream criterion selecting an ensemble weight","Removes novelty of forecast-driven building ESS integration but not the narrow selection mechanism",HIGH,"Author metadata corrected from provisional UNVERIFIED"
L006,"Rafayal et al., Optimizing electricity peak shaving through stochastic programming and probabilistic time series forecasting",2024,10.1016/j.jobe.2024.109163,publisher article,VERIFIED,ABSTRACT_METHOD_CHECKED,YES,NO,NO,YES,YES,YES,NO,NO,NO,NO,UNVERIFIED,UNVERIFIED,UNVERIFIED,NO,"Building BESS predict-then-optimize with probabilistic scenarios","Stochastic probabilistic framework; no verified downstream-selected deterministic blend","Adjacent application prior art; not an exact mechanism match",MEDIUM,"Full split and leakage details not fully verified"
L007,"Li et al., Quantifying the impact of building load forecasts on optimizing energy storage systems",2024,10.1016/j.enbuild.2024.113913,publisher article,VERIFIED,FULL_TEXT_CHECKED,YES,NO,YES,YES,YES,PARTIAL,NO,NO,NO,NO,PARTIAL,"multiple forecast models and realistic simulations",PARTIAL,PARTIAL,"Explicitly demonstrates statistical forecast metrics can misalign with storage MPC value","Evaluates model impacts and residuals rather than selecting a convex blend on held-out downstream regret","CORE-2 is not a first discovery; it remains a scoped replication/experimental finding",HIGH,"Demand-charge sensitivity and error asymmetry are central"
L008,"Katholnigg and Goebel, The Impact of Load Forecasting Model Choice on the Economic Operation of Industrial Energy Storage",2025,10.1145/3736425.3772098,ACM conference paper,VERIFIED,ABSTRACT_AND_INSTITUTIONAL_METADATA,YES,NO,YES,YES,YES,PARTIAL,NO,NO,NO,NO,NO,"real-world industrial data; exact split UNVERIFIED",PARTIAL,PARTIAL,"Directly compares forecast-model statistical and realized BESS economic rankings","No verified ensemble/blend; no verified downstream metric used to select weights","Strongly limits CORE-2 novelty and supports only a scoped experimental claim",MEDIUM-HIGH,"Full text was not openly retrieved; protocol details remain bounded"
L009,"Donti et al., Task-based End-to-end Model Learning in Stochastic Optimization",2017,https://proceedings.neurips.cc/paper/2017/hash/3fc2c60b5782f641f76bcefc39fb2392-Abstract.html,primary conference paper,VERIFIED,FULL_TEXT_CHECKED,PARTIAL,NO,YES,YES,NO,NO,YES,YES,YES,YES,NO,"train/test experiments",PARTIAL,NO,"Uses downstream task loss to train predictive models","End-to-end gradient training; DOEF never retrains components through the optimizer","Rules out describing DOEF as a new DFL algorithm",HIGH,"Foundational boundary work"
L010,"Elmachtoub and Grigas, Smart Predict then Optimize",2022,10.1287/mnsc.2020.3922,publisher article,VERIFIED,FULL_TEXT_CHECKED,NO,NO,YES,YES,NO,NO,YES,YES,YES,YES,NO,"standard train/test experimental protocols",PARTIAL,NO,"Optimizes predictive model for downstream regret using SPO+","General predict-then-optimize learning rather than fixed forecast blending","Rules out broad first/new claims",HIGH,"Foundational boundary work"
L012,"Zhang et al., Cost-oriented load forecasting",2022,10.1016/j.epsr.2021.107723,publisher article,VERIFIED,ABSTRACT_METHOD_CHECKED,YES,NO,YES,YES,NO,NO,YES,YES,YES,YES,NO,"GEFCom2012 plus IEEE 30-bus case; exact split PARTIAL",PARTIAL,NO,"Forecast training is aligned with real operating cost","Differentiable cost loss retrains the forecaster; no building battery convex blend","Value-oriented load forecasting predates DOEF",HIGH,"Direct load-forecast boundary work"
L013,"Carriere and Kariniotakis, An Integrated Approach for Value-Oriented Energy Forecasting and Data-Driven Decision-Making",2019,10.1109/TSG.2019.2914379,IEEE journal article,VERIFIED,ABSTRACT_METHOD_CHECKED,PARTIAL,NO,YES,YES,NO,NO,YES,YES,YES,YES,NO,"out-of-sample energy case described",PARTIAL,NO,"Value of forecasts in downstream decisions is central","Not building-load battery peak-shaving ensemble selection","Value-oriented energy forecasting is established prior art",HIGH,"Broad boundary paper"
L014,"Sang et al., Electricity Price Prediction for Energy Storage System Arbitrage: A Decision-Focused Approach",2022,10.1109/TSG.2022.3166791,IEEE journal article,VERIFIED,ABSTRACT_METHOD_CHECKED,NO,NO,YES,YES,YES,NO,YES,YES,YES,YES,NO,"chronological price data protocol described",PARTIAL,NO,"Decision loss trains a predictor for battery storage operation","Price forecasting and arbitrage; end-to-end retraining; not load blend or peak shaving","Storage DFL predates DOEF",HIGH,"Application boundary work"
L015,"Werling et al., Automating Value-Oriented Forecast Model Selection by Meta-learning: Application on a Dispatchable Feeder",2024,10.1007/978-3-031-48649-4_6,Springer chapter,VERIFIED,FULL_TEXT_CHECKED,YES,NO,YES,YES,YES,YES,YES,PARTIAL,NO,NO,YES,"first two years metadata; last year value labels/evaluation; 200/100-building meta-learning split",PARTIAL,YES,"Selects forecast models by downstream PV-battery building value across 300 buildings","Selects a discrete model via a trained cross-building meta-classifier; DOEF selects one per-building convex weight directly on chronological Validation regret without meta-training","Closest application-level work; CORE-1 can only be LEVEL B bounded adaptation",HIGH,"Backward references and same-author L021 checked; forward synthesis L022 checked"
