figure_id,path,phase,title_or_inferred_role,underlying_source_data,source_data_exists,frozen,width_px,height_px,aspect_ratio,text_legible_in_ppt,reusable_without_modification,presentation_value,classification,evidence_level,notes
FIG-001,outputs/phase3/feature_importance.png,3,Feature Importance,outputs/phase4_5/feature_importance.csv,YES,YES,1200,900,1.3333,LIKELY,NO,MEDIUM,SCIENTIFIC_ONLY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-002,outputs/phase3/forecast_plot.png,3,Forecast Plot,outputs/phase3/predictions.csv,YES,YES,1800,750,2.4,LIKELY,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-003,outputs/phase4/figures/01_test_actual_vs_prediction.png,4,01 Test Actual Vs Prediction,outputs/phase4/model_comparison.csv,YES,YES,1920,800,2.4,LIKELY,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-004,outputs/phase4/figures/02_test_scatter.png,4,02 Test Scatter,outputs/phase4/model_comparison.csv,YES,YES,1120,960,1.1667,REVIEW,NO,MEDIUM,SCIENTIFIC_ONLY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-005,outputs/phase4/figures/03_error_distribution.png,4,03 Error Distribution,outputs/phase4/model_comparison.csv,YES,YES,1280,800,1.6,LIKELY,NO,MEDIUM,SCIENTIFIC_ONLY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-006,outputs/phase4/figures/04_feature_importance.png,4,04 Feature Importance,outputs/phase4_5/feature_importance.csv,YES,YES,1440,1120,1.2857,LIKELY,NO,MEDIUM,SCIENTIFIC_ONLY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-007,outputs/phase4/figures/05_week_example.png,4,05 Week Example,outputs/phase4/model_comparison.csv,YES,YES,1920,800,2.4,LIKELY,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-008,outputs/phase4_5/error_by_dayofweek.png,4_5,Error By Dayofweek,outputs/phase4_5/error_by_dayofweek.csv,YES,YES,1760,1120,1.5714,LIKELY,NO,MEDIUM,SCIENTIFIC_ONLY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-009,outputs/phase4_5/error_by_hour.png,4_5,Error By Hour,outputs/phase4_5/error_by_hour.csv,YES,YES,1760,1120,1.5714,LIKELY,NO,MEDIUM,SCIENTIFIC_ONLY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-010,outputs/phase4_5/feature_importance.png,4_5,Feature Importance,outputs/phase4_5/feature_importance.csv,YES,YES,1440,1120,1.2857,LIKELY,NO,MEDIUM,SCIENTIFIC_ONLY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-011,outputs/phase4_5/test_prediction.png,4_5,Test Prediction,outputs/phase4_5/final_predictions.csv,YES,YES,2080,800,2.6,LIKELY,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-012,outputs/phase4_5/test_prediction_7days.png,4_5,Test Prediction 7Days,outputs/phase4_5/final_predictions.csv,YES,YES,2080,800,2.6,LIKELY,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-013,outputs/phase4_5/validation_prediction.png,4_5,Validation Prediction,outputs/phase4_5/final_predictions.csv,YES,YES,2080,800,2.6,LIKELY,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-014,outputs/phase5/battery_size_sensitivity.png,5,Battery Size Sensitivity,outputs/phase5/battery_size_sensitivity.csv,YES,YES,1900,1100,1.7273,LIKELY,NO,MEDIUM,SCIENTIFIC_ONLY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-015,outputs/phase5/daily_peak_reduction.png,5,Daily Peak Reduction,outputs/phase5/daily_metrics.csv,YES,YES,2600,1160,2.2414,LIKELY,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-016,outputs/phase5/example_day_dispatch.png,5,Example Day Dispatch,outputs/phase5/daily_metrics.csv,YES,YES,2200,1500,1.4667,LIKELY,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-017,outputs/phase5/example_day_soc.png,5,Example Day Soc,outputs/phase5/daily_metrics.csv,YES,YES,2100,1040,2.0192,LIKELY,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-018,outputs/phase5/peak_comparison.png,5,Peak Comparison,outputs/phase5/daily_metrics.csv,YES,YES,2000,1100,1.8182,LIKELY,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-019,outputs/phase5_7/case_failure_day.png,5_7,Case Failure Day,outputs/phase5_7/test_daily_metrics.csv,YES,YES,1980,1620,1.2222,LIKELY,NO,MEDIUM,SCIENTIFIC_ONLY,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-020,outputs/phase5_7/case_success_day.png,5_7,Case Success Day,outputs/phase5_7/test_daily_metrics.csv,YES,YES,1980,1620,1.2222,LIKELY,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
FIG-021,outputs/phase5_7/daily_regret_comparison.png,5_7,Daily Regret Comparison,outputs/phase5_7/test_daily_metrics.csv,YES,YES,2160,990,2.1818,LIKELY,NO,LOW,LOW_VALUE,EXACT_RECOVERED,Visual legibility classification is resolution/aspect-based; human slide-size review remains required. No pixel values were used as numerical evidence.
