figure_id,title_cn,title_en,narrative_role,question_answered,source_phase,exact_source_files,exact_fields,plot_type,x_axis,y_axis,unit,aggregation,statistical_semantics,headline_or_supporting,report_section,ppt_candidate,gui_candidate,reuse_existing,recreate_required,existing_audit_classification,risk,notes
F01,系统总体架构与价值链,System Architecture and Value Chain,建立完整叙事,Train/Validation/Test、预测、调度与评价如何衔接？,7;8;9;9.1,outputs/phase7/selected_buildings.json;outputs/phase8/selected_weights.csv;outputs/phase9/final_algorithm.json;outputs/phase9_1/metric_semantics.json,selection_method;w_decision;model_components;ensemble;decision_regret.definition,architecture flow,N/A,N/A,kWh per hourly interval;kW interval-average,none,Oracle 仅 hindsight evaluation；Test 只评价,HEADLINE,S02;S04;S06;S08,YES,YES,NO,YES,NEW,MEDIUM,明确不是 end-to-end differentiable learning。
F02,DOEF 核心机制,DOEF Mechanism,解释 CORE-1,MAE 选权重与 regret 选权重有何不同？,8;9.1;12,outputs/phase8/validation_weight_search.csv;outputs/phase8/selected_weights.csv;outputs/phase9_1/metric_semantics.json;outputs/phase12/innovation_claims_frozen.json,building;weight;normalized_MAE;mean_regret_vs_oracle;train_mean_load;w_forecast;w_decision;CORE-1,two-lane mechanism,LightGBM weight,normalized MAE / normalized regret,ratio,per-building Validation,同一网格；Test 只评价,HEADLINE,S07;S12;S15,YES,YES,PARTIAL,YES,REWORK,LOW,不得画成新神经网络。
F03,Forecast ≠ Decision 三层证据,Forecast Is Not Decision,核心证据,三项不一致统计分别说明什么？,7;8;12,outputs/phase12/key_number_ledger.csv;outputs/phase8/selected_weights.csv;outputs/phase7/model_test_forecast_metrics.csv;outputs/phase7/model_test_decision_metrics.csv;outputs/phase7/summary.json,MISMATCH-001;MISMATCH-002;MISMATCH-003;w_forecast;w_decision;forecast_decision_exact_rank_agreement_rate,three-panel evidence,evidence/building,weight/agreement,buildings;proportion,6/8 Validation weights;2/8 Test winners;0.344 exact rank,三者语义不同；0.344 不是相关系数,HEADLINE,S01;S12;S19,YES,YES,PARTIAL,YES,REWORK,LOW,headline 数字只从 ledger 解析。
F04,DOEF vs LightGBM 双指标,DOEF vs LightGBM,核心量化,预测与决策指标分别改善多少？,9;9.1;12,outputs/phase12/key_number_ledger.csv;outputs/phase9/per_building_metrics.csv,DOEF-001;DOEF-002;DOEF-003;DOEF-004;building;method;normalized_MAE;mean_regret_vs_oracle,aligned paired bars,metric,macro normalized value,ratio;percent annotation,8-building macro mean,两项指标分开展示且 lower is better,HEADLINE,S01;S10;S11;S19,YES,YES,NO,YES,NEW,MEDIUM,避免双轴误导。
F05,多建筑决策结果 6/2/0,Multi-Building Decision Results,保留逐建筑结果,每栋建筑的 DOEF/LightGBM regret 及胜平负如何？,8;9;9.1;12,outputs/phase12/key_number_ledger.csv;outputs/phase9/per_building_metrics.csv;outputs/phase9_1/building_level_bootstrap.csv,DOEF-005;building;method;mean_regret_vs_oracle;normalized_difference,paired dots plus W/T/L,building,normalized mean daily regret,normalized regret,per building + canonical tie count,6/2/0 是 decision-regret，不是 peak-reduction,HEADLINE,S11;S13;S19,YES,YES,PARTIAL,YES,REWORK,LOW,展示全部 8 栋和 ties。
F06,储能削峰冻结案例,Frozen Peak-Shaving Case,应用解释,预先规则日期的 actual/forecast/charge/discharge/grid/SOC 如何？,8,outputs/phase8/test_daily_decision_metrics.csv;outputs/phase8/figures/06_representative_dispatch.png,daily summary fields;STATIC_IMAGE_ONLY,multi-panel hourly series,hour,load/grid;charge/discharge;SOC,kWh per hourly interval;kW;kWh SOC,anchor building + date closest to its median DOEF daily regret;未执行,daily summary 不能重建 hourly trajectories,HEADLINE_BLOCKED,S08;S11,YES,YES,STATIC_ONLY,BLOCKED,REPLACE,CRITICAL,Phase 8 小时数据只在内存中，未落盘；不得重跑或挑最漂亮日期。
F07,296 → 82 → 8 选择协议,Building Selection Protocol,反 cherry-picking,建筑如何在 Test 表现前固定？,7;12,outputs/phase12/key_number_ledger.csv;outputs/phase7/selected_buildings.json,SCOPE-001;SCOPE-002;SCOPE-003;quality_rules;selection_method,funnel,stage,count,buildings,fixed eligibility then Train morphology,eligibility 含预定义 Validation/Test raw coverage,SUPPORTING,S05;S09,YES,YES,NO,YES,NEW,LOW,不得称全部选择只用 Train。
F08,建筑形态覆盖图,Building Morphology Map,代表性支持,8 栋建筑如何覆盖 Train morphology？,7,outputs/phase7/selected_buildings.csv;outputs/phase7/building_candidate_statistics.csv,selection features;selection_order;selected,PCA scatter,PCA1,PCA2,dimensionless,frozen morphology display transform,descriptive;not population inference,SUPPORTING,S05;S13;S21,MAYBE,NO,YES,YES,REWORK,MEDIUM,PCA 坐标未保存；如重制须将其限定为展示变换。
F09,Validation 权重搜索热图,Validation Weight Heatmap,可审计机制,每栋建筑两个最优权重在哪里？,8;9.1,outputs/phase8/validation_weight_search.csv;outputs/phase8/selected_weights.csv;outputs/phase9_1/metric_semantics.json,building;weight;normalized_MAE;mean_regret_vs_oracle;train_mean_load;w_forecast;w_decision,faceted heatmap,weight,building,normalized metrics,per-building Validation grid,same candidates and frozen tie-breaks,SUPPORTING,S07;S12;S21,YES,YES,PARTIAL,YES,REWORK,LOW,regret 用 train_mean_load 归一化。
F10,building-level bootstrap,Building-Level Bootstrap,不确定性,8 个建筑重采样区间如何？,9.1;12,outputs/phase12/key_number_ledger.csv;outputs/phase9_1/building_level_bootstrap.csv;outputs/phase9_1/building_level_bootstrap_summary.json,DOEF-006;DOEF-007;building;normalized_difference;resamples;seed,forest/dot interval,building/macro,difference,normalized regret,building-level bootstrap n=8,不是独立显著性检验,SUPPORTING,S11;S13;S21,MAYBE,NO,NO,YES,NEW,LOW,不得换成 Phase 9 building-day CI。
F11,负面结果与停止规则,Negative Results and Stopping Rules,反 cherry-picking,哪些失败分支和极端样本被保留？,5.7;9;9.1;12,outputs/phase12/key_number_ledger.csv;reports/phase5_7_report.md;outputs/phase9/competition_summary.json;outputs/phase9_1/final_reporting_summary.json,NEG-001;NEG-002;NEG-003;peak_aware_result;catboost_peak_reduction_pct,evidence cards,experiment,outcome,kW;buildings;percent,frozen per experiment,负结果仅限各自实验范围,SUPPORTING,S14;S17;S21,YES,NO,NO,YES,NEW,MEDIUM,robust、peak-aware、CatBoost failure、ties/unfavorable 均保留。
F12,轻量效率,Lightweight Efficiency,可行性支持,冻结 CPU 协议的训练/推理/artifact size 如何？,9;12,outputs/phase12/key_number_ledger.csv;outputs/phase9/efficiency_metrics.csv,EFF-001;EFF-002;EFF-003;training_time_seconds;inference_time_ms;artifact_size_bytes,KPI cards,metric,value,s;ms;KiB,frozen protocol,environment-specific;720-row batch,SUPPORTING,S16;S21,MAYBE,YES,PARTIAL,YES,REWORK,LOW,不声称工业级实时。
