literature_id,title,authors,year,venue,doi,arxiv_id,canonical_url,source_type,research_category,method,dataset,forecasting_target,downstream_decision_problem,optimization_objective_enters_training,model_selection_uses_downstream_metric,ensemble_used,multi_building_evaluation,main_finding,relevance_to_DOEF,evidence_strength,notes
L001,"The Building Data Genome Project 2, energy meter data from the ASHRAE Great Energy Predictor III competition","Clayton Miller et al.",2020,"Scientific Data",10.1038/s41597-020-00712-x,UNVERIFIED,https://doi.org/10.1038/s41597-020-00712-x,"publisher/open dataset",A,"dataset paper",BDG2,"building energy meters","none",NO,NO,NO,YES,"Large multi-building meter dataset and reproducible release.","DOEF data source and scope.",HIGH,"Full authors recheck in Phase 12."
L002,"A review of machine learning in building load prediction","Kadir Amasyali; Nora M. El-Gohary",2021,"Applied Energy",10.1016/j.apenergy.2021.116452,UNVERIFIED,https://doi.org/10.1016/j.apenergy.2021.116452,"publisher review",A,"systematic review",multiple,"building loads","building control applications",NO,NO,VARIES,VARIES,"Building-load ML and multi-building studies are established.","Base models and multi-building evaluation are not independently novel.",HIGH,"Review evidence."
L003,"A review and analysis of regression and machine learning models on commercial building electricity load forecasting","B. Yildiz; J. I. Bilbao; A. B. Sproul",2017,"Renewable and Sustainable Energy Reviews",10.1016/j.rser.2017.02.023,UNVERIFIED,https://doi.org/10.1016/j.rser.2017.02.023,"publisher review",A,"review plus benchmark","UNSW campus/building","day-ahead electricity","none",NO,NO,NO,YES,"Commercial-building forecasting and peak errors predate DOEF.","Supports strong baselines.",HIGH,"Verified publisher metadata."
L004,"Peak Forecasting for Battery-based Energy Optimizations in Campus Microgrids","Akhil Soman; Amee Trivedi; David Irwin; Beka Kosanovic; Benjamin McDaniel; Prashant Shenoy",2020,"ACM e-Energy",10.1145/3396851.3397751,2005.13517,https://doi.org/10.1145/3396851.3397751,"conference paper",B,"peak-focused LSTM","156-building microgrid trace","top/bottom demand hours","battery peak shaving",NO,NO,NO,YES,"Peak-specific forecasting improved simulated battery value.","Close decision-relevant forecasting motivation.",HIGH,"No regret-based ensemble selection."
L005,"Optimal ESS Scheduling for Peak Shaving of Building Energy Using Accuracy-Enhanced Load Forecast",UNVERIFIED,2020,"Energies",10.3390/en13215633,UNVERIFIED,https://doi.org/10.3390/en13215633,"publisher article",B,"forecast-then-optimize ESS","real building data","building load","ESS peak shaving",NO,NO,NO,NO,"Couples forecasts to constrained ESS scheduling.","Two-stage building-battery precedent.",MEDIUM,"Authors pending metadata export."
L006,"Optimizing electricity peak shaving through stochastic programming and probabilistic time series forecasting","Syed Rafayal; Aliaa Alnaggar; Mucahit Cevik",2024,"Journal of Building Engineering",10.1016/j.jobe.2024.109163,UNVERIFIED,https://doi.org/10.1016/j.jobe.2024.109163,"publisher article",B,"probabilistic forecast plus stochastic programming","real-world loads","load distribution","BESS peak shaving/cost",NO,NO,NO,UNVERIFIED,"Forecast scenarios drive two-stage BESS scheduling.","Closest application-pipeline precedent.",HIGH,"Do not adopt its first claim."
L007,"Quantifying the impact of building load forecasts on optimizing energy storage systems","Lunlong Li; Yi Ju; Zhe Wang",2024,"Energy and Buildings",10.1016/j.enbuild.2024.113913,UNVERIFIED,https://doi.org/10.1016/j.enbuild.2024.113913,"publisher article",B-C,"value-of-information/MPC","building/storage simulations","building load","economic storage MPC",NO,NO,NO,UNVERIFIED,"Forecast errors have asymmetric control impacts.","Strong support for motivation, not firstness.",HIGH,"Closest C01 evidence."
L008,"The Impact of Load Forecasting Model Choice on the Economic Operation of Industrial Energy Storage","Manuel Katholnigg; Christoph Goebel",2025,"ACM BuildSys",10.1145/3736425.3772098,UNVERIFIED,https://doi.org/10.1145/3736425.3772098,"conference paper",B-C,"dual-axis forecast/dispatch evaluation","industrial load","load","BESS dispatch under tariffs",NO,NO,YES,NO,"Statistically superior forecasts can yield worse BESS economics.","Very close empirical mismatch precedent.",HIGH,"Current prior art."
L009,"Task-based End-to-end Model Learning in Stochastic Optimization","Priya L. Donti; Brandon Amos; J. Zico Kolter",2017,NeurIPS,UNVERIFIED,1703.04529,https://proceedings.neurips.cc/paper/2017/hash/3fc2c60b5782f641f76bcefc39fb2392-Abstract.html,"conference paper",C-D,"differentiate through optimization","grid/storage tasks","problem parameters","task cost",YES,YES,NO,NO,"Trains predictors end-to-end on task loss.","Boundary DOEF does not cross.",HIGH,"Canonical DFL."
L010,"Smart Predict, then Optimize","Adam N. Elmachtoub; Paul Grigas",2022,"Management Science",10.1287/mnsc.2020.3922,1710.08005,https://doi.org/10.1287/mnsc.2020.3922,"publisher article",C-D,"SPO/SPO+",multiple,"optimization coefficients","decision regret",YES,YES,NO,NO,"Uses optimization structure to train predictors.","DOEF is validation selection, not SPO.",HIGH,"Online 2021; issue 2022."
L011,"Decision-Focused Learning: Foundations, State of the Art, Benchmark and Future Opportunities","Jayanta Mandi et al.",2024,JAIR,10.1613/jair.1.15320,2307.13565,https://doi.org/10.1613/jair.1.15320,"journal survey",C-D,"DFL taxonomy",multiple,"optimization parameters","constrained decisions",YES,YES,VARIES,VARIES,"DFL integrates prediction and optimization end-to-end.","DOEF is decision-oriented selection, not end-to-end DFL.",HIGH,"Full authors in report."
