slide_number,slide_title,element_type,claim_text,claim_id,numeric_metric_ids,figure_ids,source_phase,evidence_source,traceability_status,wording_status,notes
1,DOEF：让负荷预测服务于储能削峰决策,title,DOEF：让负荷预测服务于储能削峰决策,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
1,DOEF：让负荷预测服务于储能削峰决策,major_claim,预测不是终点：24 小时前瞻负荷预测服务于电池削峰决策。,CORE-01,,,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase9/final_algorithm.json,PASS,PASS,Visible PPTX wording audited against canonical source; normal display rounding accepted.
2,更低的预测 RMSE，并未带来更低的储能决策 regret,title,更低的预测 RMSE，并未带来更低的储能决策 regret,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
2,更低的预测 RMSE，并未带来更低的储能决策 regret,major_claim,更低的预测 RMSE 不必然带来更好的储能决策：冻结 Test 结果中，XGBoost 的 RMSE 略优，决策 regret 却更差。,CORE-02,P9_XGBOOST_NORMALIZED_RMSE_MEAN;P9_LIGHTGBM_NORMALIZED_RMSE_MEAN;P9_XGBOOST_NORMALIZED_DECISION_REGRET_MEAN;P9_LIGHTGBM_NORMALIZED_DECISION_REGRET_MEAN,SCI-01-forecast-decision-mismatch,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase9/final_benchmark.csv,PASS_WITH_QUALIFICATION,PASS_WITH_QUALIFICATION,Visible PPTX wording audited against canonical source; normal display rounding accepted.
2,更低的预测 RMSE，并未带来更低的储能决策 regret,highlighted_number_or_table,Visible quantitative evidence,CORE-02,P9_XGBOOST_NORMALIZED_RMSE_MEAN;P9_LIGHTGBM_NORMALIZED_RMSE_MEAN;P9_XGBOOST_NORMALIZED_DECISION_REGRET_MEAN;P9_LIGHTGBM_NORMALIZED_DECISION_REGRET_MEAN,SCI-01-forecast-decision-mismatch,canonical numeric registry,outputs/phase9/final_benchmark.csv,PASS,PASS,Every listed number is mapped to numeric_evidence_registry.csv.
2,更低的预测 RMSE，并未带来更低的储能决策 regret,figure_or_visual,Frozen Phase 13.1 visual usage,CORE-02,P9_XGBOOST_NORMALIZED_RMSE_MEAN;P9_LIGHTGBM_NORMALIZED_RMSE_MEAN;P9_XGBOOST_NORMALIZED_DECISION_REGRET_MEAN;P9_LIGHTGBM_NORMALIZED_DECISION_REGRET_MEAN,SCI-01-forecast-decision-mismatch,13.1,outputs/phase9/final_benchmark.csv,PASS,PASS,No Phase 13.4 figure regeneration or modification.
3,预测只是中间环节，调度结果才是工程终点,title,预测只是中间环节，调度结果才是工程终点,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
3,预测只是中间环节，调度结果才是工程终点,major_claim,所有预测方法在同一冻结电池约束下比较，实现从预测到真实削峰结果的闭环评价。,SUP-06,,CON-01-prediction-decision-bridge,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase13_1/presentation_assets/con_01_prediction_decision_bridge.png,PASS_WITH_QUALIFICATION,PASS_WITH_QUALIFICATION,Visible PPTX wording audited against canonical source; normal display rounding accepted.
3,预测只是中间环节，调度结果才是工程终点,figure_or_visual,Frozen Phase 13.1 visual usage,SUP-06,,CON-01-prediction-decision-bridge,13.1,outputs/phase13_1/presentation_assets/con_01_prediction_decision_bridge.png,PASS,PASS,No Phase 13.4 figure regeneration or modification.
4,模型不只要预测得准，还要在 Validation 上支持更好的储能决策,title,模型不只要预测得准，还要在 Validation 上支持更好的储能决策,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
