key_id,metric_name,value,unit,population_scope,split,method,comparison,source_file,source_field_or_rows,semantic_definition,allowed_rounding,allowed_wording,caveat,frozen_status
SCOPE-001,office building candidates,296,buildings,all office meters,pre-selection,deterministic building selection,none,outputs/phase7/selected_buildings.json,office_candidates,Office-labelled candidate meters considered before quality filtering,integer,296 office building candidates,Not 296 deployable sites; candidates precede quality filtering,FROZEN
SCOPE-002,eligible office buildings,82,buildings,office candidates,pre-selection,deterministic building selection,296 candidates,outputs/phase7/selected_buildings.json,quality_pass_count,Candidates satisfying fixed raw-coverage and quality gates,integer,82 buildings passed the fixed eligibility gates,Eligibility checks use raw availability over predefined Train Validation Test windows; morphology selection is Train-only,FROZEN
SCOPE-003,selected representative buildings,8,buildings,eligible office buildings,pre-Test,anchor plus deterministic farthest-point sampling,82 eligible buildings,outputs/phase7/selected_buildings.json,selected_buildings,Buildings fixed before model Test evaluation using Train-period morphology among eligible buildings,integer,8 selected office buildings,This is not proof of all-building generalization or unseen-building transfer,FROZEN
SPLIT-001,Train feature-time window,2016-01-01 to before 2017-11-01,datetime range,each selected building,Train,all frozen forecasting methods,none,src/models/train_lgbm.py,split_by_feature_time train predicate,Feature timestamps used for Train before target-availability purge,exact dates,Train feature-time window: 2016-01-01 to before 2017-11-01,Labels at or after the Validation boundary are purged for selection fits,FROZEN
SPLIT-002,Validation feature-time window,2017-11-01 to before 2017-12-01,datetime range,each selected building,Validation,DOEF weight selection,none,src/models/train_lgbm.py,split_by_feature_time validation predicate,Feature-time Validation window; 696 rows remain for selection after 24-hour target-availability purge,exact dates,Validation: November 2017 with target-availability purge,Do not call all 720 feature rows selection-eligible,FROZEN
SPLIT-003,Test target-date window,2017-12-02 to 2017-12-31,datetime range,each selected building,Test,all benchmark methods,none,outputs/phase7/test_daily_decision_metrics.csv,min and max date,Realized target dates represented by the 24-hour-ahead Test forecasts,exact dates,Frozen held-out Test target period: 2017-12-02 to 2017-12-31,The feature-time predicate starts 2017-12-01; distinguish feature and target timestamps,FROZEN
SPLIT-004,Test samples per building,720,hourly samples,8 selected buildings,Test,all benchmark methods,none,outputs/phase7/summary.json,leakage_audit.canonical_lineage.rows,Number of 24-hour-ahead point-forecast targets per building,integer,720 hourly Test samples per building,Equals 30 target days; not 31 days,FROZEN
SPLIT-005,forecast horizon,24,hours,all selected buildings,all,DOEF and benchmarks,none,outputs/phase7/summary.json,leakage_audit.canonical_lineage.forecast_horizon_hours,Target timestamp minus feature timestamp,integer,24-hour-ahead forecasting horizon,Not a rolling one-hour-ahead claim,FROZEN
MISMATCH-001,forecast-optimal versus decision-optimal weights differ,6/8,buildings,8 selected buildings,Validation,DayWeek-LightGBM convex blend,forecast MAE selection versus decision regret selection,outputs/phase8/selected_weights.csv,weights_differ=True rows 6 of 8,Count of buildings whose grid-search minimizers differ between Validation MAE and Validation downstream regret,exact fraction or 75%,6 of 8 buildings selected different weights under forecast and decision objectives,Small fixed building sample; descriptive not population inference,FROZEN
MISMATCH-002,forecast winner versus decision winner agreement,2/8,buildings,8 selected buildings,Test,DayWeek LightGBM XGBoost CatBoost,lowest normalized MAE versus lowest mean daily regret,outputs/phase7/model_test_forecast_metrics.csv + outputs/phase7/model_test_decision_metrics.csv,per-building argmin intersection 2 of 8,Count of buildings with the same best method under normalized MAE and mean daily regret,exact fraction or 25%,Forecast and decision winners agreed on only 2 of 8 buildings,Descriptive frozen Test finding; it did not select DOEF,FROZEN
MISMATCH-003,exact forecast-decision rank agreement,0.34375,proportion,32 building-method pairs,Test,DayWeek LightGBM XGBoost CatBoost,forecast rank versus decision rank,outputs/phase7/summary.json,forecast_decision_exact_rank_agreement_rate,Share of building-method entries with identical within-building ranks under forecast and decision metrics,0.344 or 34.4%,Exact rank agreement was 0.344,Not a correlation coefficient and not a causal statistic,FROZEN
DOEF-001,mean normalized MAE,0.1379695350007493,ratio,8-building macro mean,Test,DOEF,LightGBM 0.1473380276776882,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.doef_mean_normalized_mae,Per-building MAE divided by frozen Phase 7 Train mean load then equally averaged across buildings,0.13797,DOEF mean normalized MAE was 0.13797,Do not report as raw kW MAE or percentage,FROZEN
DOEF-002,relative normalized MAE improvement versus LightGBM,6.358502841800696,percent,8-building macro mean,Test,DOEF,LightGBM,outputs/phase9_1/final_reporting_summary.json,doef_vs_lightgbm.normalized_mae_relative_improvement_pct,100 times LightGBM macro mean minus DOEF macro mean divided by LightGBM macro mean,6.36%,DOEF improved mean normalized MAE by 6.36% versus LightGBM,Relative aggregate improvement; not 6.36 percentage points,FROZEN
