literature_id,title,authors,year,venue,DOI_or_URL,source_type,metadata_status,full_text_status,relevance,freeze_note
L001,"The Building Data Genome Project 2, energy meter data from the ASHRAE Great Energy Predictor III competition","Clayton Miller et al.",2020,Scientific Data,10.1038/s41597-020-00712-x,publisher/open dataset,VERIFIED,FULL_TEXT_CHECKED,dataset scope,"Dataset provenance only; not novelty evidence"
L002,A review of machine learning in building load prediction,"Liang Zhang; Jin Wen; Yanfei Li; Jianli Chen; Yunyang Ye; Yangyang Fu; William Livingood",2021,Applied Energy,10.1016/j.apenergy.2021.116452,publisher review,VERIFIED,ABSTRACT_AND_METADATA,background,"Review only; not core novelty evidence"
L003,A review and analysis of regression and machine learning models on commercial building electricity load forecasting,"B. Yildiz; J. I. Bilbao; A. B. Sproul",2017,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2017.02.023,publisher review,VERIFIED,ABSTRACT_AND_METADATA,background,"Review only; not core novelty evidence"
L004,Peak Forecasting for Battery-based Energy Optimizations in Campus Microgrids,"Akhil Soman; Amee Trivedi; David Irwin; Beka Kosanovic; Benjamin McDaniel; Prashant Shenoy",2020,ACM e-Energy,10.1145/3396851.3397751,conference paper,VERIFIED,FULL_TEXT_CHECKED,building/campus battery peak forecasting,"Task-specific peak prediction; not downstream-selected blend"
L005,Optimal ESS Scheduling for Peak Shaving of Building Energy Using Accuracy-Enhanced Load Forecast,"Jin Sol Hwang; Ismi Rosyiana Fitri; Jung-Su Kim; Hwachang Song",2020,Energies,10.3390/en13215633,publisher article,VERIFIED,FULL_TEXT_CHECKED,building forecast plus ESS peak shaving,"Accuracy-enhanced forecast feeds scheduling; selection remains accuracy-oriented"
L006,Optimizing electricity peak shaving through stochastic programming and probabilistic time series forecasting,"Syed Rafayal; Aliaa Alnaggar; Mucahit Cevik",2024,Journal of Building Engineering,10.1016/j.jobe.2024.109163,publisher article,VERIFIED,ABSTRACT_METHOD_CHECKED,building BESS predict-then-optimize,"Probabilistic scenarios and stochastic optimization; no verified decision-selected blend"
L007,Quantifying the impact of building load forecasts on optimizing energy storage systems,"Lunlong Li; Yi Ju; Zhe Wang",2024,Energy and Buildings,10.1016/j.enbuild.2024.113913,publisher article,VERIFIED,FULL_TEXT_CHECKED,forecast-to-storage value mismatch,"Evaluates forecast/control mismatch; does not select a convex blend by Validation regret"
L008,The Impact of Load Forecasting Model Choice on the Economic Operation of Industrial Energy Storage,"Manuel Katholnigg; Christoph Goebel",2025,ACM BuildSys,10.1145/3736425.3772098,conference paper,VERIFIED,ABSTRACT_AND_INSTITUTIONAL_METADATA,forecast-model choice and BESS economics,"Shows statistical/economic ranking mismatch; no verified decision-selected ensemble"
L009,Task-based End-to-end Model Learning in Stochastic Optimization,"Priya L. Donti; Brandon Amos; J. Zico Kolter",2017,NeurIPS,https://proceedings.neurips.cc/paper/2017/hash/3fc2c60b5782f641f76bcefc39fb2392-Abstract.html,conference paper,VERIFIED,FULL_TEXT_CHECKED,DFL foundation,"End-to-end task loss; outside DOEF's post-hoc fixed blend"
L010,"Smart Predict, then Optimize","Adam N. Elmachtoub; Paul Grigas",2022,Management Science,10.1287/mnsc.2020.3922,publisher article,VERIFIED,FULL_TEXT_CHECKED,predict-then-optimize foundation,"SPO+ training objective; not DOEF's non-retrained grid selection"
