slide_id,slide_role,candidate_title,key_message,primary_claim_id,supporting_claim_ids,metric_ids,figure_ids,must_show,optional,key_caveat,forbidden_statement,expected_takeaway
SLIDE-01,Problem / motivation,预测不是终点，削峰决策才是,24 h ahead load forecasting supplies advance information for battery peak shaving.,CORE-01,SUP-06,MET-002,,YES,NO,No cost/carbon/energy claim.,Verified electricity savings.,Understand the real decision objective.
SLIDE-02,Scientific question,预测更准，决策一定更好吗？,The project tests whether conventional forecast accuracy aligns with storage decision quality.,CORE-02,,MET-003;MET-004;MET-005;MET-006,FIG-038,YES,NO,Counterexample is project-scoped.,Forecast accuracy is irrelevant.,See the central mismatch immediately.
SLIDE-03,Dataset & protocol,先冻结范围，再看结果,Eight heterogeneous offices are selected with Train-only morphology after frozen eligibility filtering.,CORE-04,SUP-01;SUP-03,MET-020;MET-021;MET-022;MET-001,FIG-024,YES,NO,Fixed buildings; one Test month each.,Unseen-building generalization or pristine Test.,Trust the anti-cherry-picking protocol.
SLIDE-04,Forecast framework,因果可得的 24 小时前瞻预测,DayWeek and per-building LightGBM provide complementary frozen forecast components.,CORE-05,SUP-02,MET-002,,YES,NO,No future weather; not end-to-end training.,Future information is used.,Understand the forecast ingredients.
SLIDE-05,Storage decision framework,用真实削峰结果评价预测,Forecasts drive the same constrained battery optimizer and are evaluated on realized load using Oracle-relative regret.,CORE-01,SUP-06,MET-013,FIG-042,YES,NO,Oracle is non-deployable; regret is not money.,Oracle is a deployable controller.,Understand how predictions become decisions.
SLIDE-06,Multi-model benchmark,同一预测指标不等于同一决策排序,The frozen multi-building benchmark compares causal baselines and tree models under one decision protocol.,CORE-02,SUP-07,MET-004;MET-003,FIG-027,NO,YES,Use explicit method and aggregation labels.,One metric fully ranks all downstream value.,Prepare the benchmark context.
SLIDE-07,Mismatch evidence,RMSE 略优，regret 反而更差,XGBoost versus LightGBM provides a frozen 8-building Test counterexample.,CORE-02,,MET-003;MET-004;MET-005;MET-006,FIG-038,YES,NO,Difference is small but directionally opposite.,All accurate forecasts make bad decisions.,Accept the need for decision-oriented selection.
SLIDE-08,Decision-oriented ensemble,在 Validation 上按 regret 冻结融合权重,The same predeclared weight grid is scored by forecast MAE and decision regret; DOEF freezes the decision-selected weight.,CORE-03,SUP-03,MET-023;MET-007;MET-008,FIG-032;FIG-033;FIG-034,YES,NO,Joey is an illustration; Test did not select weights.,Weights were tuned on Test.,See the algorithmic response to the mismatch.
SLIDE-09,DOEF v1.0,从预测到削峰的冻结系统,"Causal components, decision-selected ensemble, 24 h forecast, battery optimization, and downstream evaluation form DOEF v1.0.",CORE-05,SUP-02;SUP-06,MET-002;MET-008,FIG-034,YES,NO,"Integrated evaluation, not deployed or differentiable end-to-end.",A novel LightGBM model or deployed product.,Understand the complete frozen pipeline.
SLIDE-10,Final Test results,DOEF 同时改善预测与决策指标,"Against LightGBM, DOEF improves normalized MAE by 6.36% and normalized decision regret by 3.61%.",CORE-07,CORE-06,MET-011;MET-014;MET-015;MET-016;MET-017,FIG-040,YES,NO,One fixed Test month per fixed building.,State of the art or beats all methods.,Take away the final comparative result.
SLIDE-11,Peak-shaving outcome,平均改善不隐藏最差建筑,"Mean peak reduction is 6.44%, while the building minimum is -1.02%.",CORE-08,SUP-07,MET-018;MET-019,FIG-039;FIG-040,YES,NO,Whole-window metric; one negative building.,Every building's peak is reduced.,Trust the honest scope of the outcome.
SLIDE-12,Reliability & falsification,稳定性证据与负结果同时保留,Building-level bootstrap and exact prediction invariance support reliability; robust optimization degradation remains in backup.,SUP-04,SUP-05;SUP-08,MET-025;MET-026;MET-027;MET-030,,YES,NO,Eight bootstrap units; identity audit is not independent replication.,Universal statistical proof or every experiment succeeded.,See rigor without overstating certainty.
SLIDE-13,Contribution & limits,以决策价值约束预测模型选择,"The supported contribution is a decision-oriented, Validation-selected forecast-to-storage evaluation pipeline over 8 fixed heterogeneous offices.",CORE-05,CORE-02;CORE-04;SUP-03,MET-001;MET-002,,YES,NO,"No external novelty/SOTA claim; no unseen transfer, money, carbon, or energy evidence.","First, world-first, novel, SOTA, unseen transfer, verified savings.",Remember the defensible competition contribution.
