figure_id,path,phase,current_status,final_priority,claim_ids,story_role,main_deck_or_backup,retain_original,future_redraw_recommended,underlying_data_available,readability_risk,redundancy_group,notes
FIG-024,outputs/phase7/figures/01_morphology_map.png,7,PPT_READY,CORE,CORE-04;SUP-01,Train-only morphology and fixed building scope,MAIN,YES,USE_FROZEN_AS_IS,YES,MEDIUM: verify labels at slide size,dataset-scope,Unique scope visual.
FIG-025,outputs/phase7/figures/02_normalized_forecast_comparison.png,7,PPT_READY,DROP,,Legacy forecast comparison,DROP,YES,BACKUP_ONLY,YES,MEDIUM,forecast-benchmark,Superseded by Phase 9 final-scope visuals.
FIG-026,outputs/phase7/figures/03_decision_comparison.png,7,PPT_READY,DROP,,Legacy decision comparison,DROP,YES,BACKUP_ONLY,YES,MEDIUM,decision-benchmark,Superseded by FIG-039.
FIG-027,outputs/phase7/figures/04_forecast_vs_decision_rank.png,7,PPT_REFORMAT_RECOMMENDED,SUPPORTING,CORE-02,Forecast-versus-decision rank mismatch,MAIN_OPTIONAL,YES,REDRAW_FROM_FROZEN_DATA,YES,HIGH: current format needs reformat,mismatch,Only future visual encoding may change; values and aggregation stay frozen.
FIG-028,outputs/phase7/figures/05_average_rank.png,7,LOW_VALUE,DROP,,Average ranks,DROP,YES,BACKUP_ONLY,YES,HIGH,forecast-benchmark,Low value and redundant.
FIG-029,outputs/phase7/figures/06_success_case.png,7,LOW_VALUE,DROP,,Single success case,DROP,YES,BACKUP_ONLY,YES,HIGH,case-study,Avoid cherry-picking a success case.
FIG-030,outputs/phase7/figures/07_failure_case.png,7,SCIENTIFIC_ONLY,BACKUP,CORE-08,Frozen failure case,BACKUP,YES,BACKUP_ONLY,YES,MEDIUM,case-study,Retains negative evidence; not a headline.
FIG-031,outputs/phase7/figures/08_ensemble_improvement.png,7,LOW_VALUE,DROP,,Historical ensemble improvement,DROP,YES,BACKUP_ONLY,YES,HIGH,ensemble-result,Superseded by Phase 8/9 evidence.
FIG-032,outputs/phase8/figures/01_validation_weight_vs_mae.png,8,PPT_READY,CORE,CORE-03;SUP-03,Validation forecast-objective weight curve,MAIN,YES,REDRAW_FROM_FROZEN_DATA,YES,MEDIUM,validation-selection,Future combine with FIG-033 from the same frozen table.
FIG-033,outputs/phase8/figures/02_validation_weight_vs_regret.png,8,PPT_READY,CORE,CORE-03;SUP-03,Validation decision-objective weight curve,MAIN,YES,REDRAW_FROM_FROZEN_DATA,YES,MEDIUM,validation-selection,Future combine with FIG-032; do not change selection rule.
FIG-034,outputs/phase8/figures/03_selected_weights.png,8,PPT_READY,CORE,CORE-03;CORE-05;BACK-04,Different forecast- and decision-selected weights,MAIN,YES,USE_FROZEN_AS_IS,YES,MEDIUM,validation-selection,Most direct frozen selection visual.
FIG-035,outputs/phase8/figures/04_test_decision_regret.png,8,PPT_READY,DROP,,Phase 8 Test regret comparison,DROP,YES,BACKUP_ONLY,YES,MEDIUM,decision-result,Redundant with Phase 9 final visuals.
FIG-036,outputs/phase8/figures/05_forecast_vs_decision_effect.png,8,PPT_READY,DROP,,Phase 8 forecast/decision effect,DROP,YES,BACKUP_ONLY,YES,MEDIUM,mismatch,Redundant with FIG-038.
FIG-037,outputs/phase8/figures/06_representative_dispatch.png,8,PPT_READY,BACKUP,CORE-01;SUP-06,Representative forecast-to-dispatch trace,BACKUP,YES,BACKUP_ONLY,YES,MEDIUM: underlying daily table cannot support arbitrary redraw,pipeline-example,Reuse frozen image only; do not infer numbers from pixels.
FIG-038,outputs/phase9/figures/01_forecast_vs_decision.png,9,PPT_READY,HERO,CORE-02,Core forecast-versus-decision mismatch,MAIN,YES,USE_FROZEN_AS_IS,YES,MEDIUM,mismatch,Primary story visual.
FIG-039,outputs/phase9/figures/02_building_decision_comparison.png,9,PPT_READY,CORE,CORE-07,Per-building DOEF decision comparison,MAIN,YES,USE_FROZEN_AS_IS,YES,MEDIUM,decision-result,Shows scope and heterogeneity.
FIG-040,outputs/phase9/figures/03_core_improvements.png,9,PPT_READY,HERO,CORE-06;CORE-07;CORE-08,Final DOEF outcome summary,MAIN,YES,USE_FROZEN_AS_IS,YES,MEDIUM,final-outcome,Headline outcome visual; retain caveats in slide copy.
FIG-041,outputs/phase9/figures/04_peak_quality_vs_decision.png,9,PPT_READY,BACKUP,SUP-07,Peak-quality versus decision relationship,BACKUP,YES,BACKUP_ONLY,YES,MEDIUM,mismatch,Useful for aggregation/metric Q&A; overlaps FIG-038.
FIG-042,outputs/phase9/figures/05_efficiency.png,9,PPT_READY,SUPPORTING,SUP-06,Forecast-to-decision efficiency,MAIN_OPTIONAL,YES,USE_FROZEN_AS_IS,YES,LOW,system-value,Wide aspect; supports integrated pipeline value.
FIG-043,outputs/phase9/figures/06_validation_search.png,9,PPT_READY,DROP,,Phase 9 validation search,DROP,YES,BACKUP_ONLY,YES,MEDIUM,validation-selection,Redundant with Phase 8 selection visuals.
FIG-019,outputs/phase5_7/case_failure_day.png,5_7,SCIENTIFIC_ONLY,BACKUP,SUP-08;BACK-01,Robust-method failure case,BACKUP,YES,BACKUP_ONLY,YES,HIGH,robust-negative,Scientific rigor/Q&A only.
FIG-022,outputs/phase5_7/deterministic_vs_robust_daily_peaks.png,5_7,LOW_VALUE,BACKUP,SUP-08;BACK-01,Deterministic versus robust daily peaks,BACKUP,YES,BACKUP_ONLY,YES,MEDIUM,robust-negative,Direct negative-result evidence.
FIG-023,outputs/phase5_7/lambda_sensitivity.png,5_7,SCIENTIFIC_ONLY,BACKUP,BACK-01,Validation lambda sensitivity,BACKUP,YES,BACKUP_ONLY,YES,HIGH,robust-negative,"Shows frozen selection, not Test improvement."
