rule_id,category,requirement,mandatory_level,competition_stage,track_scope,source_title,source_organization,source_type,official_url,publication_date,effective_date,retrieved_date,version,exact_evidence,interpretation,project_impact,confidence,status
R001,identity,"正式名称为全球校园人工智能算法精英大赛；英文 Global Campus Artificial Intelligence Algorithm Elite Competition（AIC）",REQUIRED,all,all,"关于举办第八届全球校园人工智能算法精英大赛的通知","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/04/%E5%85%B3%E4%BA%8E%E4%B8%BE%E5%8A%9E%E7%AC%AC%E5%85%AB%E5%B1%8AAIC%E7%AE%97%E6%B3%95%E5%A4%A7%E8%B5%9B%E7%9A%84%E9%80%9A%E7%9F%A5-2.pdf,2026-04-28,2026-04-28,2026-09-01,"全智赛组委会〔2026〕9号","中文名称：全球校园人工智能算法精英大赛；英文名称：Global Campus Artificial Intelligence Algorithm Elite Competition（AIC）","用户简称缺少‘校园’，官方全称以本条为准","后续全部材料使用官方全称与 AIC",HIGH,VERIFIED
R002,identity,"本届为 2026 年第八届，举办期为 2026-04 至 2026-12",REQUIRED,all,all,"关于举办第八届全球校园人工智能算法精英大赛的通知","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/04/%E5%85%B3%E4%BA%8E%E4%B8%BE%E5%8A%9E%E7%AC%AC%E5%85%AB%E5%B1%8AAIC%E7%AE%97%E6%B3%95%E5%A4%A7%E8%B5%9B%E7%9A%84%E9%80%9A%E7%9F%A5-2.pdf,2026-04-28,2026-04-28,2026-09-01,"全智赛组委会〔2026〕9号","决定于2026年4月-12月期间举办第八届","锁定本届，禁止以往届规则补全","所有时间与来源仅采用第八届",HIGH,VERIFIED
R003,organization,"组委会为最高决策机构，秘书处设在江苏省人工智能学会",REQUIRED,all,all,"全球校园人工智能算法精英大赛章程（试行）","全球校园人工智能算法精英大赛组委会",official_web,https://www.aicomp.cn/bylaws,2026-03-27,2026-03-27,2026-09-01,"20230321—20260327修订稿","国赛组委会是最高决策机构；秘书处设在江苏省人工智能学会","用于确认官方来源层级","官方来源按组委会/秘书处层级核验",HIGH,VERIFIED
R004,track,"本项目实际参赛赛道确认为算法主题赛（AI+能源）—科技创新组",REQUIRED,registration,project,"Phase 11 用户赛道确认","参赛项目负责人",project_confirmation,https://www.aicomp.cn/tracks/4726.html,2026-09-01,2026-09-01,2026-09-01,"user confirmation 2026-09-01","直接ai+能源科技创新组","用户对自身参赛选择的明确确认与官方赛题页共同锁定适用规则集","R005及R007-R050成为后续Phase 12-15唯一赛道规则基线",HIGH,VERIFIED
R005,track,"AI+能源科技创新组为自拟题目，官方参考主题含储能优化调度与负荷预测",REQUIRED,all,"算法主题赛（AI+能源）—科技创新组","2026AIC·AI+能源主题赛赛题及竞赛规则","全球校园人工智能算法精英大赛全国组委会",official_web,https://www.aicomp.cn/tracks/4726.html,2026-07-13,2026-07-13,2026-09-01,"web page 2026-07-13","参考主题包括储能系统智能管理与优化调度；作品场景包括负荷预测","项目内容与正式赛题范围直接匹配","冻结为Phase 12-15唯一赛道规则集",HIGH,VERIFIED
R006,track,"算法创新赛—算法模型创新已核验但不适用于本项目已确认赛道",OPTIONAL,all,"NOT APPLICABLE—算法创新赛道—算法模型创新","算法创新赛赛题规则","全球校园人工智能算法精英大赛组委会",official_web,https://www.aicomp.cn/tracks/tracks-2/3788.html,2026-05-06,2026-05-06,2026-09-01,"2026-05-06 web","行业场景算法模型创新包括新能源；需体现算法技术突破点","用户已确认直接参加AI+能源科技创新组，此规则集仅留作消歧证据","禁止与AI+能源评分或交付规则混用",HIGH,VERIFIED
R007,eligibility,"AI+能源科技创新组面向国内外高校（含研究所）在读研究生、本科生、专科生，不含企业人员或非在校学生",REQUIRED,registration,"AI+能源—科技创新组","关于举办算法主题赛（AI+能源）的通知","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E5%85%B3%E4%BA%8E%E4%B8%BE%E5%8A%9E%E7%AC%AC%E5%85%AB%E5%B1%8A%E5%85%A8%E7%90%83%E6%A0%A1%E5%9B%AD%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%AE%97%E6%B3%95%E7%B2%BE%E8%8B%B1%E5%A4%A7%E8%B5%9BAI%E8%83%BD%E6%BA%90%E4%B8%BB%E9%A2%98%E8%B5%9B%E7%9A%84%E9%80%9A%E7%9F%A5260711.pdf,2026-07-10,2026-07-10,2026-09-01,"全智赛组委会〔2026〕21号","参赛成员须为国内外高校（含研究所）在读学生……不包含任何企业人员或非在校学生","本科生允许；学历年级无进一步限制","需人工核对所有成员正式学籍",HIGH,VERIFIED
R008,eligibility,"AI+能源团队 1-3 人；不得跨校（含分校）；最多 2 名指导教师；指导教师非必需",REQUIRED,registration,"AI+能源—both groups","关于举办算法主题赛（AI+能源）的通知","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E5%85%B3%E4%BA%8E%E4%B8%BE%E5%8A%9E%E7%AC%AC%E5%85%AB%E5%B1%8A%E5%85%A8%E7%90%83%E6%A0%A1%E5%9B%AD%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%AE%97%E6%B3%95%E7%B2%BE%E8%8B%B1%E5%A4%A7%E8%B5%9BAI%E8%83%BD%E6%BA%90%E4%B8%BB%E9%A2%98%E8%B5%9B%E7%9A%84%E9%80%9A%E7%9F%A5260711.pdf,2026-07-10,2026-07-10,2026-09-01,"全智赛组委会〔2026〕21号","可单人……不得跨学校组队（含分校），每支团队成员上限3名；最多可设置2名指导教师","‘最多’表示可为 0-2 名；报名后不得修改","Phase 15 核对成员/导师信息",HIGH,VERIFIED
R009,eligibility,"同一组别每位选手只能加入一支团队；每队设 1 名队长",REQUIRED,registration,"AI+能源—both groups","关于举办算法主题赛（AI+能源）的通知","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E5%85%B3%E4%BA%8E%E4%B8%BE%E5%8A%9E%E7%AC%AC%E5%85%AB%E5%B1%8A%E5%85%A8%E7%90%83%E6%A0%A1%E5%9B%AD%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%AE%97%E6%B3%95%E7%B2%BE%E8%8B%B1%E5%A4%A7%E8%B5%9BAI%E8%83%BD%E6%BA%90%E4%B8%BB%E9%A2%98%E8%B5%9B%E7%9A%84%E9%80%9A%E7%9F%A5260711.pdf,2026-07-10,2026-07-10,2026-09-01,"全智赛组委会〔2026〕21号","每支团队设置队长1名；同一组别，每位选手只能加入一支团队","未规定每人跨组参赛数量","成员资格核验；跨组数量 UNKNOWN",HIGH,VERIFIED
R010,timeline,"AI+能源报名截止为 2026-10-15 20:00",REQUIRED,registration,"AI+能源—both groups","关于举办算法主题赛（AI+能源）的通知","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E5%85%B3%E4%BA%8E%E4%B8%BE%E5%8A%9E%E7%AC%AC%E5%85%AB%E5%B1%8A%E5%85%A8%E7%90%83%E6%A0%A1%E5%9B%AD%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%E7%AE%97%E6%B3%95%E7%B2%BE%E8%8B%B1%E5%A4%A7%E8%B5%9BAI%E8%83%BD%E6%BA%90%E4%B8%BB%E9%A2%98%E8%B5%9B%E7%9A%84%E9%80%9A%E7%9F%A5260711.pdf,2026-07-10,2026-07-10,2026-09-01,"全智赛组委会〔2026〕21号","报名截止时间为10月15日20:00","按中国大陆官方赛事时区理解；通知未显式写时区","报名与初赛提交硬截止",HIGH,VERIFIED
