literature_id,metadata_status,primary_source_checked,doi_status,authors_status,year_status,claim_scope_checked,source_quality,phase12_action
L001,QUALIFIED,YES,VERIFIED,PARTIAL,VERIFIED,YES,HIGH,"Export full author list from publisher/Zenodo."
L002,VERIFIED,YES,VERIFIED,VERIFIED,VERIFIED,YES,HIGH,"None."
L003,VERIFIED,YES,VERIFIED,VERIFIED,VERIFIED,YES,HIGH,"None."
L004,VERIFIED,YES,VERIFIED,VERIFIED,VERIFIED,YES,HIGH,"None."
L005,QUALIFIED,YES,VERIFIED,UNVERIFIED,VERIFIED,YES,HIGH,"Verify authors before formal citation."
L006,VERIFIED,YES,VERIFIED,VERIFIED,VERIFIED,YES,HIGH,"Check dataset count if used."
L007,VERIFIED,YES,VERIFIED,VERIFIED,VERIFIED,YES,HIGH,"Check exact experiment scope before numeric quotation."
L008,VERIFIED,YES,VERIFIED,VERIFIED,VERIFIED,YES,HIGH,"Obtain ACM paper for split details."
L009,VERIFIED,YES,UNVERIFIED,VERIFIED,VERIFIED,YES,HIGH,"No DOI assumed."
L010,VERIFIED,YES,VERIFIED,VERIFIED,VERIFIED,YES,HIGH,"None."
L011,QUALIFIED,YES,VERIFIED,PARTIAL,VERIFIED,YES,HIGH,"Export full author list."
L012,VERIFIED,YES,VERIFIED,VERIFIED,VERIFIED,YES,HIGH,"None."
L013,VERIFIED,YES,VERIFIED,VERIFIED,VERIFIED,YES,HIGH,"None."
L014,VERIFIED,YES,VERIFIED,VERIFIED,VERIFIED,YES,HIGH,"None."
L015,VERIFIED,YES,VERIFIED,VERIFIED,VERIFIED,YES,HIGH,"Compare leakage protocol in full paper."
L016,VERIFIED,YES,VERIFIED,VERIFIED,VERIFIED,YES,HIGH,"Reproduce taxonomy comparison; closest prior."
L017,VERIFIED,YES,VERIFIED,VERIFIED,VERIFIED,YES,HIGH,"Check final publication pagination."
L018,QUALIFIED,YES,VERIFIED,PARTIAL,VERIFIED,YES,HIGH,"Export full authors/pages."
