claim_id,claim_category,claim_text,claim_scope,status,allowed_wording,prohibited_wording,primary_evidence,secondary_evidence,source_phase,source_file,source_field_or_section,figure_id,ppt_slide,notes
CORE-01,Real problem,"The frozen task produces a 24-hour-ahead load forecast that is consumed by a battery peak-shaving dispatch evaluation; forecasting is an input to the decision task, not the terminal objective.",8 fixed office buildings; Train/Validation/Test protocol; DOEF pipeline,SUPPORTED,预测不是终点：24 小时前瞻负荷预测服务于电池削峰决策。,"The system has validated electricity-cost savings, carbon reduction, or lower energy consumption.",outputs/phase9/final_algorithm.json,outputs/phase9_1/final_reporting_summary.json,13.0B,outputs/phase9/final_algorithm.json,CLM-0021,FIG-037,SB-M01;SB-M03;SB-M12;SB-A07,"The evidence supports peak-demand reduction only, not tariff savings, carbon reduction, or energy-use reduction."
CORE-02,Forecast accuracy versus decision quality,"On the frozen 8-building Test aggregate, XGBoost has slightly lower normalized RMSE than LightGBM (0.216751 versus 0.216942) but higher normalized decision regret (0.117534 versus 0.116127).",8 fixed office buildings; Test; XGBoost versus LightGBM,SUPPORTED_WITH_QUALIFICATION,更低的预测 RMSE 不必然带来更好的储能决策：冻结 Test 结果中，XGBoost 的 RMSE 略优，决策 regret 却更差。,"Forecast accuracy is irrelevant, or all more accurate models make worse decisions.",outputs/phase9/final_benchmark.csv,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase9/final_benchmark.csv,CLM-2482;CLM-2472;CLM-2484;CLM-2474,FIG-038,SB-M02;SB-M04;SB-M07;SB-M11;SB-M12;SB-A03;SB-A05,"The RMSE gap is small and this is a project-specific counterexample, not proof that forecast accuracy never matters."
CORE-03,Decision-oriented model selection,"Phase 8 evaluates 11 predeclared DayWeek/LightGBM weights on Validation and freezes each building's weight by mean daily regret versus a non-deployable Oracle; for Hog_office_Joey, forecast-MAE selection chooses w=0.6 while decision-regret selection chooses w=0.3.",8 fixed office buildings; example: Hog_office_Joey; Validation only; DayWeek/LightGBM ensemble,SUPPORTED,DOEF 不只按预测误差选融合权重，而是在 Validation 上按储能决策 regret 冻结权重。,"Weights were tuned on Test, or the Oracle is deployable.",outputs/phase8/run_config.json,outputs/phase9/final_algorithm.json,13.0B,outputs/phase8/run_config.json,CLM-2526;CLM-2531;CLM-2532,FIG-032;FIG-033;FIG-034,SB-M04;SB-M09;SB-M11;SB-M12;SB-A08,The Joey weights are an illustrative frozen example; Oracle is hindsight-only and non-deployable.
CORE-04,Multi-building benchmark,"The benchmark fixes 8 heterogeneous office buildings using Train-only morphology after frozen eligibility filtering from 296 office candidates, of which 82 pass the frozen quality rules.",8 pre-selected heterogeneous office buildings; Train-only building selection; later Validation/Test evaluation; multi-model benchmark,SUPPORTED_WITH_QUALIFICATION,在 296 个办公候选中按冻结质量规则筛到 82 个，再仅用 Train 期形态预选 8 栋异质办公建筑。,"DOEF generalizes to unseen buildings, zero-shot transfers, or performs domain adaptation.",outputs/phase7/selected_buildings.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase7/selected_buildings.json,CLM-0003;CLM-0004;CLM-0008,FIG-024,SB-M08;SB-M11;SB-M12;SB-A01,"This is multi-building evaluation across fixed buildings, not unseen-building transfer."
CORE-05,DOEF v1.0 system,"DOEF v1.0 is formally named Decision-Oriented Ensemble Forecasting and computes w_b·LightGBM + (1-w_b)·DayWeek for a 24-hour-ahead forecast, with w_b frozen per building by Validation decision regret before battery dispatch evaluation.",8 fixed office buildings; Validation selection; Test evaluation; DayWeek + LightGBM → DOEF → battery dispatch,SUPPORTED,DOEF v1.0（Decision-Oriented Ensemble Forecasting）把因果预测、决策导向融合和电池削峰评估连成一条冻结流程。,"DOEF is a new LightGBM model, an end-to-end differentiable optimizer, or a deployed production system.",outputs/phase9/final_algorithm.json,outputs/phase9_1/final_reporting_summary.json,13.0B,outputs/phase9/final_algorithm.json,CLM-0021;CLM-2532,FIG-034,SB-M01;SB-M05;SB-M10;SB-M11;SB-M12;SB-A03,The pipeline is integrated for evaluation; it is not end-to-end differentiable training and does not claim online deployment.
CORE-06,Final forecast outcome,"On the frozen 8-building Test aggregate, DOEF reduces mean normalized MAE from 0.147338 for LightGBM to 0.137970, a relative improvement of 6.3585%.",8 fixed office buildings; Test; DOEF v1.0 versus LightGBM,SUPPORTED_WITH_QUALIFICATION,在冻结的 8 栋建筑 Test 汇总上，DOEF 相对 LightGBM 的 normalized MAE 改善 6.36%。,DOEF beats all forecasting methods everywhere or is state of the art.,outputs/phase9_1/final_reporting_summary.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase9_1/final_reporting_summary.json,CLM-2547;CLM-2546;CLM-2550,FIG-040,SB-M06;SB-M12;SB-A05,One fixed Test month per building; the result is not evidence of universal or unseen-building performance.
CORE-07,Final decision outcome,"On the frozen 8-building Test aggregate, DOEF reduces mean normalized decision regret from 0.116127 for LightGBM to 0.111929, a relative improvement of 3.6147%, with 6 building wins, 2 ties, and 0 losses.",8 fixed office buildings; Test; DOEF v1.0 versus LightGBM,SUPPORTED_WITH_QUALIFICATION,DOEF 相对 LightGBM 的 normalized decision regret 改善 3.61%，建筑级结果为 6 胜、2 平、0 负。,"DOEF beats every method on every building, or the improvement is monetary savings.",outputs/phase9_1/final_reporting_summary.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase9_1/final_reporting_summary.json,CLM-2549;CLM-2548;CLM-2551;CLM-2552;CLM-2553;CLM-2554,FIG-039;FIG-040,SB-M06;SB-M08;SB-M12;SB-A06,Regret is defined against the non-deployable Oracle under the frozen battery protocol; this is not monetary regret.
CORE-08,Peak-shaving outcome,"Across the 8 fixed Test buildings, DOEF's mean whole-window peak reduction is 6.4423%; the building-level minimum is -1.0170%, so the frozen evidence includes a degradation case.",8 fixed office buildings; Test; DOEF v1.0,SUPPORTED_WITH_QUALIFICATION,DOEF 的 8 栋建筑平均削峰率为 6.44%，同时如实保留最差建筑 -1.02% 的负结果。,"DOEF always reduces peak demand, or every building improves.",outputs/phase9/final_benchmark.csv,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase9/final_benchmark.csv,CLM-2506;CLM-2508,FIG-040,SB-M06;SB-A06,Whole-window peak reduction is not daily-average peak reduction; one building is negative.
SUP-01,Dataset scale,"The frozen Phase 3 selection table represents 1,578 building series; 296 are office candidates.",project selection universe; not applicable; dataset,SUPPORTED_WITH_QUALIFICATION,"项目冻结的 BDG2 选择表覆盖 1,578 栋建筑序列，其中 296 栋为办公候选。","BDG2 universally has exactly 1,578 buildings.",outputs/phase3/building_selection.csv,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase3/building_selection.csv,CLM-0002;CLM-0003,FIG-024,SB-A01,"The 1,578 count is scoped to this repository's frozen selection table."
SUP-02,Causal protocol,Forecasts use only causally available load-history and calendar features for a 24-hour horizon; target leakage and weather features are excluded in the frozen protocol.,8 fixed office buildings; all splits; forecast components,SUPPORTED,24 小时前瞻预测只使用因果可得的负荷历史与日历特征。,The system uses real-time future weather or future target values.,outputs/phase9/final_algorithm.json,outputs/phase13_0b/final_presentation_claims.json,13.0B,outputs/phase9/final_algorithm.json,CLM-0021,,SB-M05;SB-M10;SB-A02,This does not claim the feature set is optimal or exhaustive.
