claim_id,category,short_claim,exact_claim,novelty_level,competition_role,internal_evidence,external_evidence,metric_definition,scope,confidence,safe_report_wording,safe_ppt_wording,safe_oral_wording,prohibited_wording,caveat,status
CORE-1,method adaptation,Decision regret selects blend weight,"For each frozen building DOEF searches the fixed DayWeek-LightGBM convex-weight grid on Validation and selects w_b by downstream battery peak-shaving mean daily regret versus Oracle; Test is evaluation only.",LEVEL B,report/PPT/oral headline,"outputs/phase8/selected_weights.csv; outputs/phase8/validation_weight_search.csv; outputs/phase8/run_config.json; outputs/phase9_1/final_reporting_summary.json","L015; L016; L019; L020; L021",Decision regret is realized daily post-dispatch peak minus the non-deployable Oracle daily peak,8 fixed office buildings; deterministic point forecasts; one frozen battery and daily-reset dispatch protocol,MEDIUM-HIGH,"DOEF applies value-oriented selection as a transparent per-building Validation mechanism: optimizer-derived peak-shaving regret selects a fixed convex blend of DayWeek and LightGBM before Test evaluation.","Validation regret selects the blend—not MAE alone.","Our contribution is the specific auditable adaptation: a held-out Validation battery-regret criterion chooses a simple deterministic blend, and Test never chooses the weight.","first decision-oriented forecasting; first decision-focused ensemble; entirely new DFL algorithm; end-to-end DFL",Value-oriented selection and decision-focused pooling already exist; novelty is the bounded building-battery implementation and protocol,APPROVED_WITH_SCOPE
CORE-2,experimental finding,Forecast and decision rankings diverge,"In the frozen multi-building evidence, forecast-optimal and decision-optimal blend weights differ for 6/8 buildings; Phase 7 forecast and decision winners agree for 2/8; exact within-building rank agreement is 0.34375.",LEVEL C,report/PPT/oral headline,"outputs/phase8/selected_weights.csv; outputs/phase7/model_test_forecast_metrics.csv; outputs/phase7/model_test_decision_metrics.csv; outputs/phase7/summary.json","L007; L008; L015; L016; L020",Weight mismatch is based on Validation minimizers; winner and exact rank agreement are descriptive Test analyses,8 selected office buildings under frozen methods and simulated battery dispatch,HIGH,"The frozen experiments show a material forecast-to-decision mismatch: 6/8 blend optima differ, only 2/8 method winners agree, and exact rank agreement is 0.344.","Better forecast rank did not reliably mean better storage rank.","This does not make accuracy irrelevant; it shows that forecast metrics alone were insufficient to identify downstream value in this experiment.","first discovery; prediction accuracy is meaningless; more accurate forecasts always dispatch worse",Descriptive small-sample finding; do not universalize or infer causality,APPROVED_WITH_SCOPE
CORE-3,evaluation rigor,Representative buildings fixed without performance cherry-picking,"Among 296 office candidates, 82 passed fixed raw-availability and quality gates; eight were fixed before Test performance using an anchor plus deterministic farthest-point sampling on Train-period morphology, and all successes and failures were retained.",LEVEL C,report headline/oral defense,"outputs/phase7/selected_buildings.json; outputs/phase7/building_candidate_statistics.csv; outputs/phase7/leakage_audit.json; outputs/phase9_1/final_reporting_summary.json",L001,Not a performance metric; it is a deterministic evaluation-design rule,296 office candidates to 82 eligible to 8 selected office buildings,HIGH,"Eight buildings were fixed before Test using Train-period morphology among candidates passing predefined raw-coverage gates; forecast or decision performance did not choose the buildings.","296 candidates → 82 eligible → 8 pre-Test representative buildings.","Eligibility checked raw availability over all fixed windows, but the representative morphology itself was Train-only and never used Validation/Test scores.","all selection was Train-only; unseen-building transfer; proves all-building generalization",Eligibility uses raw Validation/Test availability; only morphology and representative sampling are Train-only,APPROVED_WITH_SCOPE
PERF-1,forecast result,DOEF normalized MAE result,"Across eight buildings DOEF mean normalized MAE is 0.1379695350 versus 0.1473380277 for LightGBM, a 6.3585% relative improvement.",LEVEL C,report/PPT result,"outputs/phase9_1/final_reporting_summary.json; outputs/phase9/aggregate_metrics.csv",none,Per-building Test MAE divided by frozen Train mean load then macro-averaged,8 buildings; frozen Test; DOEF versus LightGBM,HIGH,"DOEF improved mean normalized MAE by 6.36% versus LightGBM (0.13797 vs 0.14734).","6.36% lower mean normalized MAE vs LightGBM.","This is a macro-average normalized result, not raw-kW error and not a universal model ranking.","LightGBM is always inferior; 6.36 percentage-point improvement",Relative percent improvement over one benchmark and one frozen scope,APPROVED_WITH_SCOPE
PERF-2,decision result,DOEF normalized regret result,"Across eight buildings DOEF mean normalized daily decision regret is 0.1119291839 versus 0.1161267841 for LightGBM, a 3.6147% relative reduction, with 6/2/0 building wins/ties/losses.",LEVEL C,report/PPT result,"outputs/phase9_1/final_reporting_summary.json; outputs/phase9/aggregate_metrics.csv",none,Daily realized peak minus Oracle daily peak normalized by frozen Train mean load then macro-averaged,8 buildings; frozen Test; simulated battery dispatch,HIGH,"DOEF reduced mean normalized daily regret by 3.61% versus LightGBM, with 6 wins, 2 ties and 0 losses across the eight buildings.","3.61% lower regret; 6/2/0 W/T/L vs LightGBM.","The win/tie/loss statement is for mean daily regret, not peak reduction.","DOEF wins on every building; DOEF dominates all methods",Two ties exist; Oracle is non-deployable,APPROVED_WITH_SCOPE
PERF-3,uncertainty audit,Building-level bootstrap interval,"The building-level percentile bootstrap of DOEF minus LightGBM normalized regret has point estimate -0.0041976 and 95% interval [-0.0068502, -0.0017190], using 8 buildings, 10000 resamples and seed 42.",LEVEL C,report/supporting slide,"outputs/phase9_1/building_level_bootstrap_summary.json; outputs/phase9_1/final_reporting_summary.json",none,Buildings are the resampling units; negative difference favors DOEF,8 buildings only; frozen Test,HIGH,"A building-level bootstrap gave a 95% interval of -0.00685 to -0.00172 for DOEF minus LightGBM normalized regret.","Building-level bootstrap: 95% interval [-0.00685, -0.00172].","The interval is supportive uncertainty evidence with only eight units; we do not add a separate significance claim.","statistically proven universal superiority; p=0",Small number of buildings; probability mean below zero equals 1.0 in bootstrap draws but is not a p-value,APPROVED_WITH_SCOPE
PERF-4,application result,Simulated peak shaving,"DOEF whole-Test maximum-peak reduction is 6.4423% mean and 5.6291% median across the eight buildings under the frozen simulated battery protocol.",LEVEL E,report/PPT application value,"outputs/phase9/final_benchmark.csv; outputs/phase9_1/metric_semantics.json",L004; L005; L006; L007; L020,100 times whole-window no-battery maximum minus post-dispatch maximum divided by no-battery maximum,8 buildings; simulated dispatch; one Test period,HIGH,"Under the frozen simulated battery protocol, DOEF achieved 6.44% mean and 5.63% median whole-window peak reduction.","6.44% mean simulated peak reduction.","This is maximum-power peak shaving, not energy, bill or carbon reduction.","6.44% energy saving; proven bill reduction; proven carbon reduction",Simulation only and no tariff carbon or energy-saving model,APPROVED_WITH_SCOPE
NEG-1,negative result,Robust dispatch did not improve Test,"In the Phase 5.7 single-building frozen case, robust minus deterministic realized daily peak averaged +9.3361 kW and robust was better/equal/worse on 1/0/29 Test days.",LEVEL C,oral defense/supporting material,"reports/phase5_7_report.md; outputs/phase5_7/deterministic_vs_robust_paired.csv",none,Positive paired difference means robust dispatch produced a higher realized daily peak,one building; 30 Test days; one robust formulation,HIGH,"The tested robust strategy was stopped because it did not outperform the deterministic controller on Test.","Negative result retained: robust strategy 1/0/29.","This is evidence of an enforced stopping rule, not evidence that robustness is generally ineffective.","robust optimization never works; robust strategy improved Test",Narrow single-building scenario,APPROVED_WITH_SCOPE
NEG-2,negative result,Peak-aware LightGBM rejected,"Validation chose alpha=0 in 7/8 buildings; on Test peak-aware LightGBM was 0/7/1 versus LightGBM and 0/2/6 versus DOEF under decision regret.",LEVEL C,oral defense/supporting material,"outputs/phase9/competition_summary.json; reports/phase9_report.md",none,Win/tie/loss uses mean daily decision regret,8 buildings; frozen peak-aware candidates,HIGH,"The peak-aware model was rejected by the frozen Validation rule and remains a negative experiment.","Peak-aware branch rejected by Validation.","We preserved the result rather than promoting the one nonzero-alpha building.","peak-aware LightGBM improves DOEF; new peak-aware algorithm",Rejected branch cannot be a performance contribution,APPROVED_WITH_SCOPE
NEG-3,negative result,CatBoost extreme failure retained,"CatBoost peak-reduction percentage has mean -24.4824%, median 4.8209% and a retained minimum of -245.9433% on Hog_office_Lavon.",LEVEL C,supporting material,"outputs/phase9_1/final_reporting_summary.json",none,Whole-Test maximum-peak reduction percentage per building,8 buildings; frozen Test,HIGH,"The CatBoost extreme failure was retained, which explains the divergence between its mean and median peak reduction.","Failure cases retained; no winsorizing.","We report both the median and the extreme negative case to avoid cherry-picking.","CatBoost generally achieved 4.82% peak reduction",Median alone conceals the extreme failure and negative mean,APPROVED_WITH_SCOPE
